,Topic,Count,Name,Representation
0,-1,10124,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'is', 'it', 'for', 'was']"
1,0,1044,0_the_in_to_and,"['the', 'in', 'to', 'and', 'league', 'for', 'with', 'of', 'his', 'on']"
2,1,738,1_music_the_album_and,"['music', 'the', 'album', 'and', 'of', 'on', 'band', 'to', 'in', 'with']"
3,2,613,2_game_the_team_in,"['game', 'the', 'team', 'in', 'yards', 'season', 'to', 'and', 'for', 'on']"
4,3,311,3_art_of_painting_exhibition,"['art', 'of', 'painting', 'exhibition', 'the', 'artists', 'in', 'and', 'artist', 'work']"
5,4,293,4_1865_cemetery_died_in,"['1865', 'cemetery', 'died', 'in', 'ag', 'at', 'he', 'tc', '1860', 'and']"
6,5,292,5_blog_my_you_to,"['blog', 'my', 'you', 'to', 'and', 'it', 'your', 'is', 'that', 'this']"
7,6,291,6_card_challenge_this_you,"['card', 'challenge', 'this', 'you', 'cards', 'love', 'so', 'stamp', 'for', 'my']"
8,7,216,7_dream_game_games_it,"['dream', 'game', 'games', 'it', 'was', 'the', 'that', 'and', 'to', 'of']"
9,8,216,8_book_books_read_to,"['book', 'books', 'read', 'to', 'my', 'and', 'of', 'you', 'this', 'it']"
10,9,200,9_we_trail_the_and,"['we', 'trail', 'the', 'and', 'to', 'of', 'our', 'was', 'on', 'in']"
11,10,198,10_wedding_sstc_tutors_we,"['wedding', 'sstc', 'tutors', 'we', 'and', 'you', 'to', 'the', 'so', 'our']"
12,11,172,11_game_pm_the_in,"['game', 'pm', 'the', 'in', 'baseball', 'he', 'sox', 'inning', 'season', 'innings']"
13,12,164,12_her_she_his_he,"['her', 'she', 'his', 'he', 'ehail', 'had', 'was', 'him', 'to', 'you']"
14,13,160,13_yarn_quilt_knitting_my,"['yarn', 'quilt', 'knitting', 'my', 'chapter', 'it', 'page', 'pattern', 'to', 'knit']"
15,14,159,14_film_is_the_has,"['film', 'is', 'the', 'has', 'in', 'films', 'by', 'khan', 'and', 'of']"
16,15,149,15_my_me_that_and,"['my', 'me', 'that', 'and', 'to', 'it', 'you', 'life', 'of', 'is']"
17,16,148,16_dog_cat_dogs_she,"['dog', 'cat', 'dogs', 'she', 'her', 'and', 'to', 'cats', 'my', 'we']"
18,17,143,17_nba_game_the_points,"['nba', 'game', 'the', 'points', 'he', 'his', 'team', 'in', 'season', 'to']"
19,18,132,18_euclidean_shortest_download_paths,"['euclidean', 'shortest', 'download', 'paths', 'exact', 'and', 'of', 'the', 'to', 'is']"
20,19,122,19_sex_porn_porno_video,"['sex', 'porn', 'porno', 'video', 'hot', 'nude', 'is', 'phone', 'animal', 'free']"
21,20,119,20_of_he_the_his,"['of', 'he', 'the', 'his', 'and', 'they', 'him', 'unto', 'to', 'in']"
22,21,114,21_horse_race_the_racing,"['horse', 'race', 'the', 'racing', 'in', 'horses', '400m', '800m', 'and', 'to']"
23,22,114,22_police_said_was_his,"['police', 'said', 'was', 'his', 'he', 'in', 'her', 'the', 'on', 'murder']"
24,23,113,23_download_the_in_of,"['download', 'the', 'in', 'of', 'and', 'carr', 'is', 'to', 'algebraic', 'on']"
25,24,110,24_dress_this_my_love,"['dress', 'this', 'my', 'love', 'it', 'is', 'you', 'so', 'for', 'dredd']"
26,25,109,25_hockey_the_in_nhl,"['hockey', 'the', 'in', 'nhl', 'game', 'team', 'he', 'season', 'to', 'of']"
27,26,108,26_christmas_we_my_our,"['christmas', 'we', 'my', 'our', 'and', 'you', 'to', 'the', 'it', 'was']"
28,27,100,27_quartet_string_music_serafin,"['quartet', 'string', 'music', 'serafin', 'concert', 'opera', 'of', 'in', 'the', 'by']"
29,28,100,28_school_students_dioxide_class,"['school', 'students', 'dioxide', 'class', 'insufflation', 'carbon', 'at', 'the', 'high', 'and']"
30,29,82,29_her_cock_my_she,"['her', 'cock', 'my', 'she', 'womans', 'ass', 'me', 'sex', 'cum', 'pussy']"
31,30,80,30_love_you_it_and,"['love', 'you', 'it', 'and', 'your', 'so', 'the', 'for', 'to', 'is']"
32,31,78,31_welbz_ufc_fight_guy,"['welbz', 'ufc', 'fight', 'guy', 'dat', 'his', 'japanese', 'boxing', 'he', 'the']"
33,32,76,32_november_14_2018_wednesday,"['november', '14', '2018', 'wednesday', '15', '2003', 'episode', '19', '17', '2018august']"
34,33,75,33_de_que_en_la,"['de', 'que', 'en', 'la', 'el', 'se', 'una', 'con', 'un', 'si']"
35,34,70,34_to_belgian_the_beer,"['to', 'belgian', 'the', 'beer', 'and', 'for', 'charity', 'food', 'beers', 'of']"
36,35,69,35_match_wwe_wrestling_the,"['match', 'wwe', 'wrestling', 'the', 'ring', 'wrestlemania', 'hogan', 'tna', 'with', 'title']"
37,36,67,36_my_me_you_that,"['my', 'me', 'you', 'that', 'and', 'to', 'her', 'was', 'she', 'it']"
38,37,66,37_her_she_relationship_has,"['her', 'she', 'relationship', 'has', 'on', 'that', 'in', 'oneals', 'to', 'with']"
39,38,65,38_oyster_theatre_musical_daddy,"['oyster', 'theatre', 'musical', 'daddy', 'the', 'offbroadway', 'of', 'and', 'in', 'at']"
40,39,65,39_fashion_of_the_collection,"['fashion', 'of', 'the', 'collection', 'manual', 'and', 'in', 'with', 'that', 'to']"
41,40,64,40_the_lipedema_of_in,"['the', 'lipedema', 'of', 'in', 'and', 'to', 'is', 'island', 'de', 'town']"
42,41,64,41_dating_singles_online_free,"['dating', 'singles', 'online', 'free', 'single', 'women', 'site', 'sites', 'of', 'in']"
43,42,61,42_marvel_thor_movie_the,"['marvel', 'thor', 'movie', 'the', 'superman', 'of', 'will', 'avengers', 'is', 'film']"
44,43,61,43_film_the_in_and,"['film', 'the', 'in', 'and', 'movie', 'of', 'that', 'films', 'is', 'to']"
45,44,57,44_waikiki_we_of_the,"['waikiki', 'we', 'of', 'the', 'thailand', 'to', 'and', 'in', 'was', 'hua']"
46,45,56,45_snow_it_weather_my,"['snow', 'it', 'weather', 'my', 'will', 'wee', 'we', 'that', 'and', 'is']"
47,46,54,46_bird_we_it_the,"['bird', 'we', 'it', 'the', 'birds', 'was', 'to', 'were', 'and', 'but']"
48,47,52,47_fig_thai_shoes_my,"['fig', 'thai', 'shoes', 'my', 'and', 'for', 'with', 'is', 'the', 'them']"
49,48,52,48_tagged_posted_phuket_poetry,"['tagged', 'posted', 'phuket', 'poetry', 'permalink', 'bookmark', 'entry', 'photography', 'nature', 'tags']"
50,49,51,49_the_of_that_to,"['the', 'of', 'that', 'to', 'in', 'he', 'and', 'is', 'it', 'board']"
51,50,50,50_she_her_my_we,"['she', 'her', 'my', 'we', 'to', 'and', 'that', 'is', 'data', 'it']"
52,51,49,51_god_tennis_666_satan,"['god', 'tennis', '666', 'satan', 'wimbledon', 'samaritans', 'match', 'the', 'in', 'of']"
53,52,46,52_the_of_he_on,"['the', 'of', 'he', 'on', 'to', 'and', 'show', 'in', 'is', 'his']"
54,53,45,53_my_painting_you_it,"['my', 'painting', 'you', 'it', 'drawing', 'to', 'and', 'with', 'keys', 'have']"
55,54,43,54_my_to_that_and,"['my', 'to', 'that', 'and', 'you', 'it', 'me', 'have', 'but', 'for']"
56,55,42,55_about_moon_business_so,"['about', 'moon', 'business', 'so', 'marcy', 'of', 'the', 'this', 'is', 'shot']"
57,56,41,56_iphone_phone_is_apple,"['iphone', 'phone', 'is', 'apple', 'smartphone', 'god', 'that', 'and', 'its', 'the']"
58,57,40,57_prince_meghan_royal_duchess,"['prince', 'meghan', 'royal', 'duchess', 'of', 'the', 'wedding', 'harry', 'and', 'to']"
59,58,40,58_italy_venice_we_the,"['italy', 'venice', 'we', 'the', 'cobb', 'in', 'to', 'of', 'you', 'and']"
60,59,38,59_poetry_is_and_of,"['poetry', 'is', 'and', 'of', 'poet', 'poets', 'the', 'ipswich', 'to', 'writing']"
61,60,37,60_golds_cialis_tablet_school,"['golds', 'cialis', 'tablet', 'school', 'cheap', 'loans', 'students', 'loan', 'their', 'student']"
62,61,37,61_thrones_season_hbo_series,"['thrones', 'season', 'hbo', 'series', 'shows', 'television', 'premiere', 'torrent', 'tv', 'network']"
63,62,35,62_baltimore_mr_town_new,"['baltimore', 'mr', 'town', 'new', 'ruso', 'greene', 'dellisanti', 'stanzione', 'linger', 'ravena']"
64,63,32,63_whoever_her_my_me,"['whoever', 'her', 'my', 'me', 'hentai', 'was', 'his', 'to', 'cum', 'thy']"
65,64,32,64_tenggol_thankful_whatareyouthankfulfor_pulau,"['tenggol', 'thankful', 'whatareyouthankfulfor', 'pulau', 'birthday', 'nudibranchs', 'dives', 'my', 'dive', 'love']"
66,65,29,65_chinese_china_70480_was,"['chinese', 'china', '70480', 'was', 'we', 'shanghai', 'the', 'it', 'and', 'tibetan']"
67,66,27,66_of_in_download_rasputin,"['of', 'in', 'download', 'rasputin', 'the', 'he', 'was', 'from', 'jewish', 'his']"
68,67,27,67_nude_miley_her_cyrus,"['nude', 'miley', 'her', 'cyrus', 'she', 'ugly', 'brittany', 'naked', 'pussy', 'model']"
69,68,26,68_paris_berlin_research_of,"['paris', 'berlin', 'research', 'of', 'the', 'in', 'city', 'which', 'izgltbas', 'is']"
70,69,25,69_poker_casino_tournament_event,"['poker', 'casino', 'tournament', 'event', 'sontheimer', 'gambling', 'players', 'alisson', 'negreanu', 'masters']"
71,70,25,70_hair_my_you_natural,"['hair', 'my', 'you', 'natural', 'your', 'it', 'to', 'so', 'and', 'with']"
72,71,24,71_bowls_lawn_lankan_music,"['bowls', 'lawn', 'lankan', 'music', 'sri', 'tanya', 'bowl', 'the', 'muqam', 'nigerian']"
73,72,24,72_vibrating_golf_screen_round,"['vibrating', 'golf', 'screen', 'round', 'pga', 'spieth', 'the', 'tournament', 'stilphen', 'on']"
74,73,24,73_jenner_kendall_kim_styles,"['jenner', 'kendall', 'kim', 'styles', 'khloe', 'kardashian', 'harry', 'kylie', 'marijuana', 'her']"
75,74,24,74_games_kickstarter_game_you,"['games', 'kickstarter', 'game', 'you', 'to', 'the', 'it', 'have', 'bolt', 'is']"
76,75,23,75_korea_korean_north_canada,"['korea', 'korean', 'north', 'canada', 'eom', 'destiny', 'koreans', 'travel', 'schoenherr', 'seoul']"
77,76,23,76_church_we_parish_our,"['church', 'we', 'parish', 'our', 'ministry', 'to', 'and', 'prayer', 'are', 'the']"
78,77,23,77_my_running_run_so,"['my', 'running', 'run', 'so', 'me', 'it', 'to', 'that', 'and', 'you']"
79,78,22,78_ip_fire_civil_reforms,"['ip', 'fire', 'civil', 'reforms', 'track', 'cases', 'court', 'justice', 'fast', 'costs']"
80,79,21,79_if_you_writing_to,"['if', 'you', 'writing', 'to', 'my', 'people', 'that', 'is', 'handwriting', 'but']"
81,80,21,80_lottery_lotto_result_waste,"['lottery', 'lotto', 'result', 'waste', 'jackpot', 'results', 'kerala', '2018', 'disposer', 'grinding']"
82,81,21,81_westerly_comicsgate_house_and,"['westerly', 'comicsgate', 'house', 'and', 'comics', 'hat', 'the', 'in', 'to', 'preeta']"
83,82,20,82_liverobo_beano_toy_3d,"['liverobo', 'beano', 'toy', '3d', 'mecha', 'of', 'video', 'the', 'it', 'and']"
84,83,20,83_middle_my_the_and,"['middle', 'my', 'the', 'and', 'is', 'of', 'to', 'movie', 'eastern', 'in']"
85,84,20,84_video_ubud_resort_bar,"['video', 'ubud', 'resort', 'bar', 'sound', 'we', 'clips', 'videos', 'filming', 'vimeo']"
86,85,20,85_comic_comics_strip_security,"['comic', 'comics', 'strip', 'security', 'military', 'services', 'of', 'screencaps', 'the', 'you']"
87,86,20,86_crash_mature_cams_road,"['crash', 'mature', 'cams', 'road', 'stunt', 'truck', 'he', 'sex', 'was', 'chat']"
88,87,20,87_eya_will_she_we,"['eya', 'will', 'she', 'we', 'raya', 'her', 'to', 'you', 'my', 'hubby']"
89,88,20,88_widoczny_dla_zalogowanych_chen,"['widoczny', 'dla', 'zalogowanych', 'chen', 'xiao', 'yang', 'enhancement', 'mc', 'is', 'he']"
90,89,20,89_pierzchowiec_poland_henryk_village,"['pierzchowiec', 'poland', 'henryk', 'village', 'monument', 'city', 'of', 'armani', 'dbrowski', 'visit']"
91,90,19,90_andy_ten_cubs_unlocked,"['andy', 'ten', 'cubs', 'unlocked', 'bunk', 'motions', 'trailed', 'norton', 'rises', 'enters']"
92,91,19,91_my_horror_is_monster,"['my', 'horror', 'is', 'monster', 'movie', 'that', 'me', 'the', 'it', 'to']"
93,92,18,92_art_agatha_tokyo_japan,"['art', 'agatha', 'tokyo', 'japan', 'exhibition', 'japanese', 'christie', 'kubota', 'sec', 'of']"
94,93,18,93_tokyo_hiroshima_earthquake_japanese,"['tokyo', 'hiroshima', 'earthquake', 'japanese', 'station', 'japan', 'schencking', 'cherry', 'park', '1923']"
95,94,18,94_mcguinness_film_festival_director,"['mcguinness', 'film', 'festival', 'director', 'films', 'sonos', 'his', 'sunscreen', 'wrestling', 'of']"
