,Topic,Count,Name,Representation
0,-1,3925,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'you', 'is', 'for', 'that', 'your']"
1,0,280,0_search_seo_google_keywords,"['search', 'seo', 'google', 'keywords', 'engine', 'site', 'website', 'content', 'engines', 'your']"
2,1,235,1_mixed_votes_biennale_page,"['mixed', 'votes', 'biennale', 'page', 'the', 'is', 'text', 'it', 'of', 'to']"
3,2,220,2_email_outlook_mail_gmail,"['email', 'outlook', 'mail', 'gmail', 'server', 'emails', 'account', 'the', 'address', 'to']"
4,3,216,3_essay_writing_thesis_write,"['essay', 'writing', 'thesis', 'write', 'essays', 'paper', 'topic', 'research', 'of', 'an']"
5,4,163,4_students_student_20102011_respondents,"['students', 'student', '20102011', 'respondents', 'pennsylvania', 'university', 'application', 'rn', 'in', 'degree']"
6,5,158,5_email_marketing_emails_list,"['email', 'marketing', 'emails', 'list', 'your', 'subscribers', 'to', 'you', 'send', 'autoresponder']"
7,6,125,6_card_credit_bank_payment,"['card', 'credit', 'bank', 'payment', 'account', 'releases', 'the', '2018', 'you', 'of']"
8,7,109,7_insurance_claim_attorney_or,"['insurance', 'claim', 'attorney', 'or', 'case', 'the', 'of', 'you', 'if', 'to']"
9,8,107,8_travel_you_and_hotel,"['travel', 'you', 'and', 'hotel', 'in', 'the', 'to', 'of', 'that', 'are']"
10,9,100,9_vpn_ip_connection_proxy,"['vpn', 'ip', 'connection', 'proxy', 'router', 'asa', 'network', 'access', 'vpns', 'internet']"
11,10,97,10_pdf_description_short_music,"['pdf', 'description', 'short', 'music', 'file', 'because', 'no', 'download', 'video', 'videos']"
12,11,96,11_social_media_twitter_your,"['social', 'media', 'twitter', 'your', 'you', 'to', 'people', 'and', 'on', 'of']"
13,12,93,12_bet_poker_odds_betting,"['bet', 'poker', 'odds', 'betting', 'game', 'casino', 'league', 'play', 'bets', 'players']"
14,13,89,13_aws_azure_cloud_the,"['aws', 'azure', 'cloud', 'the', 'cluster', 'is', 'to', 'data', 'this', 'and']"
15,14,86,14_money_faire_savings_leather,"['money', 'faire', 'savings', 'leather', 'budget', 'save', 'puppy', 'coupon', 'retirement', 'your']"
16,15,82,15_api_user_token_authentication,"['api', 'user', 'token', 'authentication', 'application', 'access', 'directory', 'azure', 'the', 'this']"
17,16,78,16_bitcoin_wallet_exchange_bitcoins,"['bitcoin', 'wallet', 'exchange', 'bitcoins', 'cryptocurrency', 'mining', 'currency', 'coins', 'litecoin', 'buy']"
18,17,76,17_facebook_account_friends_profile,"['facebook', 'account', 'friends', 'profile', 'you', 'as', 'your', 'could', 'well', 'certainly']"
19,18,75,18_estate_property_real_home,"['estate', 'property', 'real', 'home', 'house', 'seller', 'buyers', 'sale', 'you', 'agent']"
20,19,74,19_blog_your_blogs_readers,"['blog', 'your', 'blogs', 'readers', 'content', 'site', 'you', 'post', 'to', 'visitors']"
21,20,69,20_wedding_guests_your_ceremony,"['wedding', 'guests', 'your', 'ceremony', 'day', 'you', 'and', 'the', 'of', 'dress']"
22,21,67,21_invoice_invoices_tax_quickbooks,"['invoice', 'invoices', 'tax', 'quickbooks', 'sales', 'levy', 'accounting', 'payer', 'the', 'sage']"
23,22,67,22_facebook_page_your_to,"['facebook', 'page', 'your', 'to', 'on', 'you', 'and', 'with', 'marketing', 'people']"
24,23,65,23_resume_cv_job_spm,"['resume', 'cv', 'job', 'spm', 'your', 'experience', 'write', 'yantra', 'skills', 'kuber']"
25,24,63,24_server_error_apache_matchmaking,"['server', 'error', 'apache', 'matchmaking', 'http', 'the', 'file', 'ranked', 'is', 'redirect']"
26,25,60,25_of_and_in_the,"['of', 'and', 'in', 'the', 'was', 'he', 'we', 'as', 'to', 'for']"
27,26,58,26_you_goals_work_that,"['you', 'goals', 'work', 'that', 'goal', 'it', 'to', 'time', 'what', 'your']"
28,27,57,27_male_female_men_bladder,"['male', 'female', 'men', 'bladder', 'modesty', 'women', 'that', 'of', 'the', 'nonprofit']"
29,28,56,28_video_youtube_videos_content,"['video', 'youtube', 'videos', 'content', 'your', 'marketing', 'channel', 'to', 'and', 'you']"
