,Topic,Count,Name,Representation
0,-1,10210,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'for', 'with', 'that', 'on']"
1,0,413,0_led_lighting_light_lights,"['led', 'lighting', 'light', 'lights', 'bulbs', 'lamp', 'starlite', 'bulb', 'strip', 'outdoor']"
2,1,302,1_housing_sound_affordable_affordability,"['housing', 'sound', 'affordable', 'affordability', 'audio', 'midi', 'government', 'music', 'rental', 'to']"
3,2,178,2_cloud_data_server_database,"['cloud', 'data', 'server', 'database', 'virtual', 'application', 'to', 'and', 'backup', 'sql']"
4,3,166,3_cleaning_cleaner_vacuum_carpet,"['cleaning', 'cleaner', 'vacuum', 'carpet', 'clean', 'cleaners', 'your', 'steam', 'you', 'plumbing']"
5,4,163,4_air_ac_conditioning_repair,"['air', 'ac', 'conditioning', 'repair', 'hvac', 'conditioner', 'heating', 'cooling', 'your', 'you']"
6,5,156,5_boat_rigging_sailing_boats,"['boat', 'rigging', 'sailing', 'boats', 'sail', 'yacht', 'sailboat', 'sails', 'sportspal', 'canoe']"
7,6,155,6_crusher_crushing_jaw_stone,"['crusher', 'crushing', 'jaw', 'stone', 'crushers', 'mining', 'plant', 'cone', 'ore', 'grinding']"
8,7,147,7_gun_shooting_rifle_pistol,"['gun', 'shooting', 'rifle', 'pistol', 'abby', 'knots', 'ammunition', 'gary', 'target', 'valene']"
9,8,138,8_rights_human_we_our,"['rights', 'human', 'we', 'our', 'proton', 'building', 'home', 'design', 'and', 'to']"
10,9,122,9_sodium_of_the_magnesium,"['sodium', 'of', 'the', 'magnesium', 'were', 'graphene', 'properties', 'in', 'potassium', 'was']"
11,10,118,10_addition_slide_slip_protection,"['addition', 'slide', 'slip', 'protection', 'fall', 'associated', 'regard', 'osha', 'arrest', 'lanyard']"
12,11,117,11_motorcycle_bike_bikes_racing,"['motorcycle', 'bike', 'bikes', 'racing', 'motorcycles', 'scooter', 'yamaha', 'drag', 'dating', 'electric']"
13,12,114,12_printer_hp_cartridges_printers,"['printer', 'hp', 'cartridges', 'printers', 'ink', 'epson', 'toner', 'canon', 'print', 'cartridge']"
14,13,113,13_concrete_pavement_pavers_must,"['concrete', 'pavement', 'pavers', 'must', 'paving', 'pest', 'be', 'surface', 'joints', 'foundation']"
15,14,112,14_market_report_dec_2016,"['market', 'report', 'dec', '2016', 'ap', 'global', 'industry', 'game', 'share', 'during']"
16,15,110,15_fire_safety_smoke_alarm,"['fire', 'safety', 'smoke', 'alarm', 'disaster', 'health', 'victim', 'fires', 'osha', 'monoxide']"
17,16,106,16_insurance_car_auto_coverage,"['insurance', 'car', 'auto', 'coverage', 'policy', 'quotes', 'you', 'your', 'accident', 'vehicle']"
