,Topic,Count,Name,Representation
0,-1,8026,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'you', 'with', 'it']"
1,0,247,0_skin_makeup_face_your,"['skin', 'makeup', 'face', 'your', 'lip', 'apply', 'foundation', 'lips', 'look', 'eye']"
2,1,242,1_my_and_we_was,"['my', 'and', 'we', 'was', 'our', 'the', 'to', 'of', 'in', 'that']"
3,2,154,2_exercise_your_workout_back,"['exercise', 'your', 'workout', 'back', 'leg', 'exercises', 'training', 'strength', 'body', 'squat']"
4,3,149,3_garden_plants_soil_gardening,"['garden', 'plants', 'soil', 'gardening', 'plant', 'and', 'in', 'your', 'of', 'to']"
5,4,141,4_cleaning_clean_carpet_water,"['cleaning', 'clean', 'carpet', 'water', 'soda', 'your', 'you', 'cleaner', 'it', 'to']"
6,5,120,5_card_stamp_paper_parts,"['card', 'stamp', 'paper', 'parts', 'language', 'the', 'tractor', 'cards', 'to', 'with']"
7,6,113,6_stitch_crochet_yarn_stitches,"['stitch', 'crochet', 'yarn', 'stitches', 'pattern', 'knitting', 'row', 'knit', 'st', 'needle']"
8,7,111,7_customer_served_shall_company,"['customer', 'served', 'shall', 'company', 'cheese', 'chicken', 'agreement', 'with', 'sauce', 'picasso']"
9,8,108,8_cocktail_eleanor_drink_indicating,"['cocktail', 'eleanor', 'drink', 'indicating', 'ice', 'beer', 'and', 'with', 'born', 'glass']"
10,9,108,9_object_code_class_we,"['object', 'code', 'class', 'we', 'function', 'drupal', 'is', 'an', 'the', 'exception']"
11,10,90,10_codon_studies_literature_systematic,"['codon', 'studies', 'literature', 'systematic', 'review', 'were', 'codons', 'usage', 'of', 'students']"
12,11,87,11_christmas_tree_tribe_paper,"['christmas', 'tree', 'tribe', 'paper', 'ornaments', 'the', 'and', 'stand', 'with', 'make']"
13,12,84,12_yoga_your_you_epub,"['yoga', 'your', 'you', 'epub', 'and', 'the', 'to', 'of', 'practice', 'in']"
14,13,77,13_sql_query_database_table,"['sql', 'query', 'database', 'table', 'server', 'sergey', 'data', 'values', 'cursor', 'statement']"
15,14,77,14_account_payment_email_paypal,"['account', 'payment', 'email', 'paypal', 'ashville', 'please', 'membership', 'tile', 'click', 'our']"
16,15,74,15_mp3_audio_music_channel,"['mp3', 'audio', 'music', 'channel', 'midi', 'houndmouth', 'channels', 'converter', 'flac', 'wav']"
17,16,73,16_room_home_wall_space,"['room', 'home', 'wall', 'space', 'bedroom', 'interior', 'furniture', 'design', 'your', 'colors']"
18,17,71,17_photography_camera_photo_pictures,"['photography', 'camera', 'photo', 'pictures', 'you', 'photographer', 'subject', 'photos', 'to', 'your']"
19,18,70,18_form_application_student_please,"['form', 'application', 'student', 'please', 'exam', 'hawaii', 'esthetician', 'state', 'submit', 'certificate']"
20,19,67,19_image_color_layer_clomid,"['image', 'color', 'layer', 'clomid', 'adjustment', 'the', 'texture', 'white', 'light', 'black']"
21,20,66,20_image_photoshop_carpal_layer,"['image', 'photoshop', 'carpal', 'layer', 'autism', 'tool', 'images', 'layers', 'tunnel', 'resize']"
22,21,65,21_javascript_webpack_application_npm,"['javascript', 'webpack', 'application', 'npm', 'we', 'file', 'node', 'code', 'angular', 'js']"
23,22,64,22_java_repository_maven_file,"['java', 'repository', 'maven', 'file', 'code', 'class', 'sbt', 'jar', 'project', 'osgi']"
24,23,62,23_dates_server_connection_remote,"['dates', 'server', 'connection', 'remote', 'ssh', 'kaspersky', 'ip', 'date', 'directory', 'ldap']"
25,24,62,24_timeshare_dress_your_levitra,"['timeshare', 'dress', 'your', 'levitra', 'you', 'are', 'look', 'marriott', 'to', 'of']"
26,25,61,25_cookies_cookie_chocolate_spencer,"['cookies', 'cookie', 'chocolate', 'spencer', 'llc', 'lisa', 'my', 'or', 'and', 'any']"
27,26,60,26_excel_equal_formula_access,"['excel', 'equal', 'formula', 'access', 'view', 'data', 'less', 'latin', 'poets', 'date']"
28,27,60,27_rid_pests_bugs_pest,"['rid', 'pests', 'bugs', 'pest', 'ants', 'roaches', 'home', 'of', 'in', 'mosquito']"
29,28,56,28_hair_braid_hairstyle_style,"['hair', 'braid', 'hairstyle', 'style', 'hairstyles', 'bun', 'your', 'cobleskill', 'look', 'long']"
30,29,56,29_hair_strange_doctor_shampoo,"['hair', 'strange', 'doctor', 'shampoo', 'portal', 'scalp', 'your', 'effects', 'effect', 'conditioner']"
31,30,56,30_betterworldsolutions_cialis_information_inghilterra,"['betterworldsolutions', 'cialis', 'information', 'inghilterra', 'generico', 'recipes', 'recipe', 'her', 'in', 'and']"
32,31,54,31_css_theme_wordpress_web,"['css', 'theme', 'wordpress', 'web', 'responsive', 'bootstrap', 'themes', 'dreamweaver', 'content', 'design']"
33,32,54,32_healthy_food_breakfast_eating,"['healthy', 'food', 'breakfast', 'eating', 'eat', 'diet', 'my', 'and', 'fat', 'health']"
34,33,53,33_dog_dogs_crate_training,"['dog', 'dogs', 'crate', 'training', 'him', 'your', 'puppy', 'dental', 'dentl', 'pet']"
35,34,53,34_error_dll_windows_fix,"['error', 'dll', 'windows', 'fix', 'registry', 'errors', 'computer', 'system', 'file', 'scan']"
36,35,53,35_product_innovation_products_buy,"['product', 'innovation', 'products', 'buy', 'strategy', 'serveware', 'business', 'your', 'you', 'prices']"
