,Topic,Count,Name,Representation
0,-1,2071,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'that', 'for', 'with', 'it']"
1,0,219,0_to_of_the_and,"['to', 'of', 'the', 'and', 'in', 'is', 'that', 'are', 'be', 'for']"
2,1,125,1_my_was_car_service,"['my', 'was', 'car', 'service', 'me', 'and', 'very', 'they', 'to', 'he']"
3,2,122,2_camera_lens_cameras_nikon,"['camera', 'lens', 'cameras', 'nikon', 'the', 'lenses', 'image', 'is', 'of', 'and']"
4,3,115,3_car_you_cars_your,"['car', 'you', 'cars', 'your', 'used', 'buying', 'vehicle', 'to', 'of', 'the']"
5,4,115,4_gun_the_and_is,"['gun', 'the', 'and', 'is', 'of', 'it', 'to', 'with', 'rifle', 'pistol']"
6,5,114,5_roof_roofing_your_you,"['roof', 'roofing', 'your', 'you', 'contractor', 'to', 'and', 'of', 'be', 'the']"
7,6,97,6_home_your_you_house,"['home', 'your', 'you', 'house', 'to', 'can', 'of', 'will', 'be', 'that']"
8,7,93,7_sound_speakers_the_speaker,"['sound', 'speakers', 'the', 'speaker', 'of', 'and', 'in', 'audio', 'my', 'to']"
9,8,72,8_insurance_you_your_car,"['insurance', 'you', 'your', 'car', 'coverage', 'policy', 'auto', 'to', 'if', 'will']"
10,9,72,9_camera_cameras_security_video,"['camera', 'cameras', 'security', 'video', 'home', 'to', 'the', 'and', 'you', 'of']"
11,10,68,10_the_and_with_of,"['the', 'and', 'with', 'of', 'graphics', 'to', 'geforce', 'is', 'cpu', 'amd']"
12,11,66,11_light_lighting_led_to,"['light', 'lighting', 'led', 'to', 'the', 'of', 'and', 'is', 'for', 'in']"
13,12,56,12_oil_gas_of_pipeline,"['oil', 'gas', 'of', 'pipeline', 'the', 'in', 'that', 'to', 'and', 'energy']"
14,13,56,13_bmw_325_the_series,"['bmw', '325', 'the', 'series', 'of', 'and', 'is', 'with', 'car', 'its']"
15,14,53,14_drone_rc_flight_the,"['drone', 'rc', 'flight', 'the', 'to', 'drones', 'and', 'you', 'in', 'of']"
16,15,52,15_printer_print_printing_ink,"['printer', 'print', 'printing', 'ink', 'canon', 'printers', 'hp', 'paper', 'pixma', 'for']"
17,16,52,16_ford_the_and_with,"['ford', 'the', 'and', 'with', 'is', 'of', 'in', 'engine', 'model', 'to']"
18,17,51,17_windshield_glass_auto_repair,"['windshield', 'glass', 'auto', 'repair', 'my', 'window', 'to', 'your', 'was', 'and']"
19,18,47,18_energy_wind_solar_coal,"['energy', 'wind', 'solar', 'coal', 'of', 'to', 'the', 'in', 'and', 'power']"
20,19,45,19_bike_bikes_frame_carbon,"['bike', 'bikes', 'frame', 'carbon', 'the', 'ride', 'and', 'mccrometer', 'with', 'on']"
21,20,45,20_laptop_the_laptops_is,"['laptop', 'the', 'laptops', 'is', 'of', 'for', 'to', 'and', 'that', 'in']"
22,21,43,21_tv_download_bombay_maximum,"['tv', 'download', 'bombay', 'maximum', 'sony', 'the', 'city', 'is', 'and', 'to']"
23,22,42,22_fence_job_was_he,"['fence', 'job', 'was', 'he', 'work', 'my', 'and', 'our', 'very', 'to']"
24,23,40,23_plumbing_plumber_emergency_you,"['plumbing', 'plumber', 'emergency', 'you', 'services', 'plumbers', 'your', 'to', 'water', 'pipes']"
25,24,37,24_painting_paint_and_to,"['painting', 'paint', 'and', 'to', 'you', 'home', 'of', 'painter', 'your', 'in']"
26,25,37,25_your_you_to_driving,"['your', 'you', 'to', 'driving', 'in', 'the', 'of', 'be', 'and', 'on']"
27,26,37,26_shower_bathroom_toilet_valve,"['shower', 'bathroom', 'toilet', 'valve', 'you', 'tile', 'tub', 'your', 'brush', 'mountain']"
28,27,37,27_honda_civic_hrv_crv,"['honda', 'civic', 'hrv', 'crv', 'the', 'engine', 'and', 'car', 'hondas', 'its']"
29,28,36,28_bike_yamaha_the_is,"['bike', 'yamaha', 'the', 'is', 'bikes', 'and', 'motorcycle', 'it', 'aprilia', 'of']"
30,29,35,29_air_conditioner_you_your,"['air', 'conditioner', 'you', 'your', 'home', 'heating', 'energy', 'unit', 'temperature', 'cooling']"
31,30,34,30_live_2019_centers_center,"['live', '2019', 'centers', 'center', 'nissan', 'acura', 'heated', 'optional', 'drive', 'allwheel']"
32,31,33,31_electric_tesla_model_ev,"['electric', 'tesla', 'model', 'ev', 'car', 'the', 'ipace', 'bmw', 'volt', 'and']"
33,32,33,32_driveway_you_contractor_concrete,"['driveway', 'you', 'contractor', 'concrete', 'will', 'to', 'that', 'your', 'be', 'they']"
34,33,33,33_air_hvac_conditioning_repair,"['air', 'hvac', 'conditioning', 'repair', 'you', 'your', 'ac', 'heating', 'contractor', 'to']"
35,34,32,34_boat_boats_bow_dating,"['boat', 'boats', 'bow', 'dating', 'the', 'and', 'hull', 'cockpit', 'is', 'with']"
36,35,31,35_furniture_outdoor_you_furnishings,"['furniture', 'outdoor', 'you', 'furnishings', 'your', 'patio', 'wood', 'be', 'to', 'garden']"
37,36,30,36_golf_clubs_cialis_head,"['golf', 'clubs', 'cialis', 'head', 'headcovers', 'the', 'visa', 'of', 'that', 'club']"
38,37,30,37_generator_refrigerator_appliances_freezer,"['generator', 'refrigerator', 'appliances', 'freezer', 'repair', 'and', 'the', 'you', 'in', 'to']"
39,38,29,38_saw_saws_pole_download,"['saw', 'saws', 'pole', 'download', 'cutting', 'chain', 'table', 'and', 'chainsaw', 'varlot']"
40,39,29,39_drives_ssd_drive_storage,"['drives', 'ssd', 'drive', 'storage', 'hard', 'is', 'usb', 'the', 'it', 'nas']"
41,40,29,40_kia_hyundai_the_engine,"['kia', 'hyundai', 'the', 'engine', 'and', 'jobs', 'with', 'is', 'of', 'its']"
42,41,28,41_junk_car_parts_you,"['junk', 'car', 'parts', 'you', 'scrap', 'salvage', 'your', 'cars', 'auto', 'automobile']"
43,42,28,42_case_yeti_cooler_the,"['case', 'yeti', 'cooler', 'the', 'fan', 'power', 'psu', 'fans', 'atx', 'of']"
44,43,28,43_binoculars_optics_of_the,"['binoculars', 'optics', 'of', 'the', 'optical', 'tactical', 'and', 'fringe', 'is', 'in']"
