,Topic,Count,Name,Representation
0,-1,9981,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'for', 'is', 'that', 'on', 'with']"
1,0,314,0_bus_hotel_the_and,"['bus', 'hotel', 'the', 'and', 'stop', 'you', 'is', 'in', 'with', 'for']"
2,1,303,1_church_ministry_churches_baptist,"['church', 'ministry', 'churches', 'baptist', 'god', 'our', 'worship', 'we', 'jesus', 'and']"
3,2,245,2_art_arts_artists_artist,"['art', 'arts', 'artists', 'artist', 'and', 'the', 'of', 'in', 'gallery', 'painting']"
4,3,224,3_city_council_county_the,"['city', 'council', 'county', 'the', 'of', 'and', 'board', 'for', 'bishop', 'to']"
5,4,211,4_essay_writing_paper_essays,"['essay', 'writing', 'paper', 'essays', 'research', 'thesis', 'write', 'you', 'dissertation', 'your']"
6,5,209,5_candidates_exam_2018_examination,"['candidates', 'exam', '2018', 'examination', 'recruitment', 'admission', 'attestation', 'test', 'result', '2017']"
7,6,195,6_law_legal_litigation_lawyers,"['law', 'legal', 'litigation', 'lawyers', 'clients', 'attorney', 'firm', 'attorneys', 'practice', 'and']"
8,7,187,7_any_or_website_terms,"['any', 'or', 'website', 'terms', 'use', 'content', 'site', 'agree', 'not', 'may']"
9,8,179,8_windows_security_files_computer,"['windows', 'security', 'files', 'computer', 'antivirus', 'system', 'software', 'file', 'malware', 'it']"
10,9,176,9_insurance_coverage_car_policy,"['insurance', 'coverage', 'car', 'policy', 'your', 'you', 'life', 'auto', 'liability', 'cover']"
11,10,168,10_search_seo_google_engine,"['search', 'seo', 'google', 'engine', 'your', 'website', 'engines', 'keywords', 'site', 'web']"
12,11,167,11_stock_our_dividend_shares,"['stock', 'our', 'dividend', 'shares', 'financial', 'march', 'million', '31', 'investment', 'quarterly']"
13,12,161,12_estate_real_property_realtors,"['estate', 'real', 'property', 'realtors', 'home', 'homes', 'properties', 'your', 'sale', 'listing']"
14,13,160,13_dating_singles_single_women,"['dating', 'singles', 'single', 'women', 'online', 'free', 'site', 'men', 'meet', 'sites']"
15,14,153,14_information_data_personal_privacy,"['information', 'data', 'personal', 'privacy', 'cookies', 'we', 'use', 'our', 'may', 'your']"
16,15,134,15_cloud_data_can_file,"['cloud', 'data', 'can', 'file', 'database', 'backup', 'files', 'it', 'is', 'server']"
17,16,133,16_loans_loan_payday_credit,"['loans', 'loan', 'payday', 'credit', 'cash', 'pismo', 'you', 'pottsboro', 'lenders', 'bad']"
18,17,133,17_card_credit_payment_your,"['card', 'credit', 'payment', 'your', 'you', 'account', 'cards', 'merchant', 'will', 'order']"
19,18,125,18_trading_forex_binary_options,"['trading', 'forex', 'binary', 'options', 'traders', 'trade', 'market', 'wave', 'signals', 'brokers']"
