,Topic,Count,Name,Representation
0,-1,9666,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'for', 'is', 'that', 'with', 'on']"
1,0,749,0_hotel_the_and_beach,"['hotel', 'the', 'and', 'beach', 'with', 'in', 'of', 'is', 'to', 'authority']"
2,1,323,1_skin_hair_oil_oils,"['skin', 'hair', 'oil', 'oils', 'and', 'natural', 'with', 'shampoo', 'it', 'cream']"
3,2,295,2_golf_club_players_team,"['golf', 'club', 'players', 'team', 'at', 'the', 'and', 'in', 'on', 'coach']"
4,3,289,3_estate_real_property_homes,"['estate', 'real', 'property', 'homes', 'home', 'listings', 'auction', 'sale', 'mortgage', 'properties']"
5,4,257,4_dog_dogs_pet_cat,"['dog', 'dogs', 'pet', 'cat', 'pets', 'cats', 'your', 'animal', 'to', 'puppy']"
6,5,226,5_furniture_desk_chair_storage,"['furniture', 'desk', 'chair', 'storage', 'kitchen', 'table', 'bench', 'design', 'chairs', 'house']"
7,6,204,6_restaurant_chicken_menu_pizza,"['restaurant', 'chicken', 'menu', 'pizza', 'restaurants', 'food', 'dishes', 'and', 'with', 'the']"
8,7,168,7_pdf_description_file_short,"['pdf', 'description', 'file', 'short', 'because', 'no', 'doc', 'manual', 'edition', 'this']"
9,8,141,8_trading_binary_options_forex,"['trading', 'binary', 'options', 'forex', 'stock', 'trade', 'market', 'traders', 'price', 'option']"
10,9,136,9_galaxy_samsung_phone_nokia,"['galaxy', 'samsung', 'phone', 'nokia', 'iphone', 'camera', 'ios', 'android', 'myfms', 'moreby']"
11,10,132,10_shui_feng_jewelry_diamond,"['shui', 'feng', 'jewelry', 'diamond', 'rings', 'gold', 'ring', 'diamonds', 'bells', 'hcg']"
12,11,128,11_management_cowlitz_manager_job,"['management', 'cowlitz', 'manager', 'job', 'business', 'sales', 'salary', 'client', 'thyroid', 'mariadb']"
13,12,128,12_fn_nike_golf_shoes,"['fn', 'nike', 'golf', 'shoes', 'driver', 'covert', 'boots', 'shoe', 'irons', 'putter']"
14,13,126,13_car_cars_sell_want,"['car', 'cars', 'sell', 'want', 'online', 'used', 'clash', 'sale', 'gears', 'clans']"
15,14,115,14_wine_wines_vineyard_grapes,"['wine', 'wines', 'vineyard', 'grapes', 'vineyards', 'cabernet', 'winery', 'of', 'brett', 'vines']"
16,15,108,15_kitchen_design_ideas_interior,"['kitchen', 'design', 'ideas', 'interior', 'room', 'furniture', 'home', 'marsh', 'living', 'bedroom']"
17,16,106,16_email_any_privacy_matrox,"['email', 'any', 'privacy', 'matrox', 'information', 'policy', 'personal', 'website', 'iptv', 'forum']"
18,17,105,17_fellows_seminar_institute_college,"['fellows', 'seminar', 'institute', 'college', 'students', 'teachers', 'school', 'curriculum', 'their', 'percent']"
19,18,104,18_dental_teeth_dentist_smile,"['dental', 'teeth', 'dentist', 'smile', 'dance', 'her', 'bernice', 'oral', 'marjorie', 'dentistry']"
20,19,101,19_trail_county_aerial_park,"['trail', 'county', 'aerial', 'park', 'lake', 'river', 'mountain', 'trails', 'ski', 'view']"
21,20,99,20_yoga_practice_class_meditation,"['yoga', 'practice', 'class', 'meditation', 'classes', 'body', 'poses', 'she', 'her', 'teacher']"
22,21,87,21_fitness_tank_armour_training,"['fitness', 'tank', 'armour', 'training', 'exercise', 'you', 'your', 'crossfit', 'workout', 'that']"
23,22,86,22_casino_poker_slot_blackjack,"['casino', 'poker', 'slot', 'blackjack', 'slots', 'games', 'gambling', 'online', 'game', 'play']"
24,23,85,23_jacket_merino_wool_jerseys,"['jacket', 'merino', 'wool', 'jerseys', 'fit', 'moisture', 'blanket', 'wear', 'furniture', 'fabric']"
25,24,84,24_flowers_florist_flower_plants,"['flowers', 'florist', 'flower', 'plants', 'plant', 'garden', 'floral', 'delivery', 'gardens', 'shakespeare']"
26,25,82,25_cdt_wind_weather_mph,"['cdt', 'wind', 'weather', 'mph', 'hail', 'warsaw', 'miles', 'forecast', 'pm', 'damage']"
27,26,79,26_bathroom_sink_vanity_sinks,"['bathroom', 'sink', 'vanity', 'sinks', 'farmhouse', 'vanities', 'kitchen', 'cabinet', 'shower', 'faucets']"
28,27,75,27_insurance_louisville_auto_car,"['insurance', 'louisville', 'auto', 'car', 'ky', 'quotes', 'kentucky', 'cheap', 'coverage', 'cheapest']"
29,28,73,28_airport_airline_flight_flights,"['airport', 'airline', 'flight', 'flights', 'tickets', 'airlines', 'taxi', 'birmingham', 'travel', 'ticket']"
30,29,72,29_alcohol_abuse_drug_code,"['alcohol', 'abuse', 'drug', 'code', 'use', 'percent', 'substance', 'java', 'among', 'that']"
31,30,70,30_viagra_cialis_generic_levitra,"['viagra', 'cialis', 'generic', 'levitra', 'buy', 'online', 'the', 'he', 'of', 'to']"
32,31,69,31_eye_lenses_glasses_app,"['eye', 'lenses', 'glasses', 'app', 'eyes', 'that', 'light', 'apps', 'they', 'vision']"
33,32,69,32_moving_movers_storage_removals,"['moving', 'movers', 'storage', 'removals', 'packers', 'relocation', 'packing', 'alandur', 'our', 'chennai']"
34,33,67,33_bag_iphone_xs_bags,"['bag', 'iphone', 'xs', 'bags', 'backpack', 'dresses', 'zip', 'dress', 'apple', 'replica']"
35,34,66,34_locksmith_lock_locks_goldvein,"['locksmith', 'lock', 'locks', 'goldvein', 'springdale', 'wight', 'isle', 'locksmiths', 'our', 'security']"
36,35,63,35_ainu_species_they_people,"['ainu', 'species', 'they', 'people', 'melanesian', 'of', 'andaman', 'the', 'die', 'islands']"
37,36,63,36_mycotoxin_protocols_molecular_download,"['mycotoxin', 'protocols', 'molecular', 'download', 'methods', 'biology', 'doudna', 'hepatobiliary', 'surgical', 'pancreatic']"
38,37,63,37_hair_hairstyles_extensions_hairstyle,"['hair', 'hairstyles', 'extensions', 'hairstyle', 'haircuts', 'wigs', 'brazilian', 'santa', 'haircut', 'virgin']"
39,38,60,38_web_design_am_experience,"['web', 'design', 'am', 'experience', 'project', 'development', 'services', 'designing', 'website', 'php']"
40,39,60,39_lopressor_energy_pollution_cod,"['lopressor', 'energy', 'pollution', 'cod', 'environmental', 'taxation', 'bidam', 'centurylink', 'demon', 'water']"
41,40,59,40_music_guitar_itunescleanepisode_piano,"['music', 'guitar', 'itunescleanepisode', 'piano', 'developmental', 'autoimmune', 'delay', 'intervention', 'children', 'lessons']"
42,41,58,41_translation_durgapur_languages_language,"['translation', 'durgapur', 'languages', 'language', 'dictionary', 'ugg', 'translate', 'english', 'words', 'arabic']"
43,42,58,42_formants_audio_mp3_soundgen,"['formants', 'audio', 'mp3', 'soundgen', 'music', 'sound', 'converter', 'video', 'noise', 'software']"
44,43,57,43_advertising_marketing_sex_anal,"['advertising', 'marketing', 'sex', 'anal', 'penis', 'media', 'sexual', 'ads', 'affiliate', 'ethanol']"
45,44,56,44_engineering_levitra_chemist_candidates,"['engineering', 'levitra', 'chemist', 'candidates', 'she', 'parsley', 'olympiad', 'ndt', 'my', 'music']"
46,45,55,45_tobacco_cigarettes_cannabis_smoking,"['tobacco', 'cigarettes', 'cannabis', 'smoking', 'cigars', 'nicotine', 'vape', 'cigar', 'cigarette', 'pipe']"
47,46,55,46_ict_agricultural_food_technology,"['ict', 'agricultural', 'food', 'technology', 'countries', 'farmers', 'that', 'development', 'of', 'agriculture']"
48,47,53,47_cameras_macbook_intel_laptop,"['cameras', 'macbook', 'intel', 'laptop', 'radeon', 'geforce', 'pro', 'graphics', 'digital', 'camera']"
49,48,53,48_moon_ash_calendar_the,"['moon', 'ash', 'calendar', 'the', 'sun', 'year', 'was', 'month', 'of', 'wednesday']"
50,49,53,49_marijuana_cannabis_strain_thc,"['marijuana', 'cannabis', 'strain', 'thc', 'cbd', 'cultivation', 'excise', 'seeds', 'kush', 'tax']"
51,50,52,50_children_worksheets_propecia_pill,"['children', 'worksheets', 'propecia', 'pill', 'pupils', 'child', 'coloring', 'teachers', 'activities', 'learning']"
52,51,51,51_endscancercom_his_sex_paradiso,"['endscancercom', 'his', 'sex', 'paradiso', 'dating', 'nanotubes', 'website', 'voorhis', 'cylinders', 'molecules']"
53,52,51,52_embryos_genes_muscle_fcs,"['embryos', 'genes', 'muscle', 'fcs', 'al', 'et', 'ras', 'toll10b', 'notch', 'fcms']"
54,53,49,53_photography_photographer_photographers_channels,"['photography', 'photographer', 'photographers', 'channels', 'wedding', 'any', 'professional', 'company', 'andor', 'images']"
55,54,49,54_art_painting_camouflage_artist,"['art', 'painting', 'camouflage', 'artist', 'artists', 'of', 'he', 'work', 'exhibition', 'landscape']"
56,55,49,55_architecture_design_architectural_oshawa,"['architecture', 'design', 'architectural', 'oshawa', 'architects', 'dating', 'architect', 'interior', 'digest', 'projects']"
57,56,48,56_mattress_foam_sleep_pillow,"['mattress', 'foam', 'sleep', 'pillow', 'mattresses', 'bed', 'memory', 'puffy', 'gessner', 'body']"
58,57,48,57_resume_letter_sample_cover,"['resume', 'letter', 'sample', 'cover', 'job', 'resumes', 'examples', 'template', 'objective', 'application']"
59,58,48,58_horse_horses_autograph_he,"['horse', 'horses', 'autograph', 'he', 'equine', 'racing', 'riders', 'training', 'to', 'she']"
60,59,48,59_landscaping_lawn_landscape_garden,"['landscaping', 'lawn', 'landscape', 'garden', 'landscapers', 'washing', 'maintenance', 'residential', 'soil', 'plants']"
61,60,47,60_care_senior_services_home,"['care', 'senior', 'services', 'home', 'attorneys', 'living', 'assisted', 'hospice', 'nursing', 'irwin']"
62,61,47,61_dating_online_sites_singles,"['dating', 'online', 'sites', 'singles', 'free', 'site', 'homo', 'amp', 'women', 'com']"
63,62,46,62_dog_food_pet_dogs,"['dog', 'food', 'pet', 'dogs', 'cats', 'pets', 'nutro', 'feed', 'foods', 'protein']"
64,63,46,63_plans_floor_house_plan,"['plans', 'floor', 'house', 'plan', 'vuilicom', 'visitorinterior', 'viewed', 'design', 'posted', 'june']"
65,64,45,64_devops_microservice_docker_data,"['devops', 'microservice', 'docker', 'data', 'microservices', 'sap', 'gateway', 'application', 'software', 'azure']"
66,65,45,65_contact_please_us_call,"['contact', 'please', 'us', 'call', 'form', '4142121', 'below', 'office', 'customer', 'you']"
67,66,45,66_slider_responsive_slide_theme,"['slider', 'responsive', 'slide', 'theme', 'joomla', 'slideshow', 'sliders', 'wordpress', 'image', 'images']"
68,67,45,67_watches_watch_omega_replica,"['watches', 'watch', 'omega', 'replica', 'weight', 'chopard', 'olympic', 'rolex', 'dial', 'heuer']"
69,68,44,68_baby_framework_javascript_monitor,"['baby', 'framework', 'javascript', 'monitor', 'child', 'development', 'meat', 'frontend', 'parents', 'frameworks']"
70,69,44,69_coupons_codes_promo_coupon,"['coupons', 'codes', 'promo', 'coupon', 'discount', 'deals', 'code', 'cyber', 'off', 'friday']"
71,70,44,70_fabric_embroidery_knitting_yarn,"['fabric', 'embroidery', 'knitting', 'yarn', 'knit', 'stitch', 'garment', 'knitwear', 'kit', 'stitches']"
72,71,43,71_eating_healthy_foods_weight,"['eating', 'healthy', 'foods', 'weight', 'nutrition', 'diet', 'food', 'meals', 'eat', 'health']"
73,72,42,72_worksheets_math_grade_rational,"['worksheets', 'math', 'grade', 'rational', 'arithmetic', 'expressions', 'practice', 'section', 'fractions', 'worksheet']"
74,73,42,73_beer_brewery_brewing_ale,"['beer', 'brewery', 'brewing', 'ale', 'cask', 'hops', 'kveik', 'malt', 'yeasts', 'porter']"
75,74,41,74_chocolate_ice_cream_song,"['chocolate', 'ice', 'cream', 'song', 'album', 'candy', 'snowball', 'ninja', 'flavors', 'snoball']"
76,75,41,75_parking_snow_road_street,"['parking', 'snow', 'road', 'street', 'avenue', 'airport', 'turn', 'left', 'bus', 'exit']"
77,76,41,76_loans_loan_payday_credit,"['loans', 'loan', 'payday', 'credit', 'bad', 'v5', 'personal', 'cash', 'approval', 'loansurl']"
78,77,40,77_diet_weight_solvable_fat,"['diet', 'weight', 'solvable', 'fat', 'loss', 'lose', 'quantum', 'mechanics', 'appendix', 'models']"
79,78,40,78_zealand_slade_whale_marine,"['zealand', 'slade', 'whale', 'marine', 'zip', 'boat', 'dating', 'new', 'ocean', 'minke']"
