,Topic,Count,Name,Representation
0,-1,767,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'that', 'it', 'you', 'for']"
1,0,251,0_to_the_and_you,"['to', 'the', 'and', 'you', 'of', 'my', 'in', 'is', 'that', 'for']"
2,1,224,1_you_to_me_the,"['you', 'to', 'me', 'the', 'my', 'and', 'your', 'it', 'im', 'in']"
3,2,112,2_her_the_to_was,"['her', 'the', 'to', 'was', 'it', 'for', 'and', 'as', 'that', 'whoever']"
4,3,104,3_the_and_to_of,"['the', 'and', 'to', 'of', 'my', 'you', 'in', 'me', 'is', 'your']"
5,4,63,4_you_and_we_me,"['you', 'and', 'we', 'me', 'the', 'my', 'to', 'in', 'be', 'dont']"
6,5,57,5_discrete_mathematics_the_download,"['discrete', 'mathematics', 'the', 'download', 'of', 'neural', 'to', 'networks', 'and', 'in']"
7,6,47,6_viagra_cialis_and_generic,"['viagra', 'cialis', 'and', 'generic', 'the', 'in', 'of', 'online', 'to', 'is']"
8,7,47,7_the_and_of_to,"['the', 'and', 'of', 'to', 'until', 'as', 'in', 'from', 'software', 'trucking']"
9,8,40,8_4040_archives_belgium_state,"['4040', 'archives', 'belgium', 'state', 'episode', 'northwest', 'of', '2016', '2017', '2013']"
10,9,30,9_lyrics_you_to_the,"['lyrics', 'you', 'to', 'the', 'and', 'night', 'in', 'is', 'of', 'it']"
11,10,27,10_his_dating_and_or,"['his', 'dating', 'and', 'or', 'its', 'very', 'without', 'the', 'rencontre', 'that']"
12,11,25,11_you_and_the_all,"['you', 'and', 'the', 'all', 'day', 'would', 'dark', 'my', 'be', 'will']"
13,12,21,12_lyrics_song_sung_by,"['lyrics', 'song', 'sung', 'by', 'movie', 'hai', 'composed', 'music', 'from', 'hindi']"
14,13,20,13_you_im_me_dont,"['you', 'im', 'me', 'dont', 'eyes', 'theres', 'but', 'my', 'not', 'anymore']"
15,14,14,14_nh_vn_khu_bn,"['nh', 'vn', 'khu', 'bn', 'hai', 'bnh', 'tn', 'you', 'your', 'ng']"
16,15,13,15_outlet_you_shoes_love,"['outlet', 'you', 'shoes', 'love', 'jersey', 'nfl', 'nike', 'by', 'your', 'is']"
17,16,12,16_violets_shes_will_misery,"['violets', 'shes', 'will', 'misery', 'sugar', 'lonely', 'did', 'empty', 'are', 'your']"
18,17,12,17_homework_of_help_her,"['homework', 'of', 'help', 'her', 'the', 'in', 'she', 'to', 'he', 'do']"
19,18,11,18_rotfront_sovietoblaster_stay_hardkiss,"['rotfront', 'sovietoblaster', 'stay', 'hardkiss', 'skrt', 'good', 'sheeran', 'afire', 'wheels', 'vodka']"
20,19,11,19_dancing_yours_ill_days,"['dancing', 'yours', 'ill', 'days', 'those', 'be', 'wishes', 'searching', 'butterflies', 'your']"
