,Topic,Count,Name,Representation
0,-1,474,-1_the_or_and_to,"['the', 'or', 'and', 'to', 'of', 'any', 'you', 'in', 'is', 'for']"
1,0,502,0_to_information_you_the,"['to', 'information', 'you', 'the', 'and', 'your', 'we', 'of', 'our', 'or']"
2,1,431,1_the_of_to_in,"['the', 'of', 'to', 'in', 'and', 'or', 'shall', 'be', 'for', 'by']"
3,2,102,2_or_any_and_the,"['or', 'any', 'and', 'the', 'to', 'you', 'of', 'use', 'that', 'your']"
4,3,85,3_the_or_and_of,"['the', 'or', 'and', 'of', 'to', 'any', 'you', 'site', 'in', 'is']"
5,4,76,4_the_or_of_and,"['the', 'or', 'of', 'and', 'to', 'any', 'this', 'is', 'for', 'in']"
6,5,50,5_materials_of_site_web,"['materials', 'of', 'site', 'web', 'or', 'on', 'the', 'any', 'its', 'to']"
7,6,42,6_or_and_the_any,"['or', 'and', 'the', 'any', 'to', 'of', 'website', 'you', 'in', 'your']"
8,7,29,7_the_to_and_you,"['the', 'to', 'and', 'you', 'of', 'or', 'your', 'any', 'in', 'we']"
9,8,28,8_or_the_to_of,"['or', 'the', 'to', 'of', 'any', 'and', 'website', 'use', 'this', 'not']"
10,9,27,9_any_or_of_service,"['any', 'or', 'of', 'service', 'and', 'the', 'our', 'including', 'to', 'suppliers']"
11,10,26,10_software_the_and_to,"['software', 'the', 'and', 'to', 'of', 'or', 'agreement', 'in', 'any', 'license']"
12,11,14,11_the_licensed_licensee_of,"['the', 'licensed', 'licensee', 'of', 'to', 'and', 'or', 'in', 'work', 'any']"
13,12,12,12_or_any_the_to,"['or', 'any', 'the', 'to', 'and', 'you', 'of', 'service', 'not', 'that']"
14,13,11,13_or_the_lawyer_of,"['or', 'the', 'lawyer', 'of', 'to', 'not', 'is', 'in', 'an', 'ehline']"
