,Topic,Count,Name,Representation
0,-1,123,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'you', 'in', 'that', 'is', 'for', 'your']"
1,0,94,0_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'that', 'is', 'you', 'for', 'it']"
2,1,60,1_you_car_to_the,"['you', 'car', 'to', 'the', 'and', 'of', 'for', 'that', 'your', 'in']"
3,2,59,2_the_to_and_of,"['the', 'to', 'and', 'of', 'you', 'your', 'that', 'is', 'in', 'for']"
4,3,58,3_the_to_of_and,"['the', 'to', 'of', 'and', 'you', 'furniture', 'in', 'your', 'for', 'is']"
5,4,56,4_the_you_to_and,"['the', 'you', 'to', 'and', 'of', 'roofing', 'roof', 'your', 'that', 'in']"
6,5,28,5_the_to_water_you,"['the', 'to', 'water', 'you', 'plumber', 'is', 'and', 'plumbing', 'of', 'your']"
7,6,27,6_insurance_to_the_you,"['insurance', 'to', 'the', 'you', 'of', 'your', 'and', 'in', 'is', 'that']"
8,7,24,7_the_to_air_your,"['the', 'to', 'air', 'your', 'and', 'of', 'in', 'is', 'you', 'it']"
9,8,21,8_to_the_you_and,"['to', 'the', 'you', 'and', 'air', 'hvac', 'of', 'that', 'be', 'your']"
10,9,21,9_the_of_to_and,"['the', 'of', 'to', 'and', 'walmart', 'you', 'is', 'in', 'your', 'for']"
11,10,18,10_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'your', 'you', 'for', 'on', 'is']"
12,11,16,11_the_to_you_your,"['the', 'to', 'you', 'your', 'and', 'of', 'solar', 'energy', 'is', 'in']"
13,12,16,12_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'that', 'you', 'is', 'for', 'it']"
