,Topic,Count,Name,Representation
0,-1,8841,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'for', 'is', 'that', 'on', 'with']"
1,0,1853,0_hotel_the_is_and,"['hotel', 'the', 'is', 'and', 'you', 'of', 'from', 'in', 'to', 'with']"
2,1,1070,1_album_music_band_the,"['album', 'music', 'band', 'the', 'and', 'in', 'of', 'was', 'on', 'with']"
3,2,680,2_art_of_the_in,"['art', 'of', 'the', 'in', 'and', 'work', 'artists', 'to', 'artist', 'exhibition']"
4,3,625,3_cotton_with_dress_soft,"['cotton', 'with', 'dress', 'soft', 'fabric', 'is', 'and', 'this', 'jacket', 'sleeves']"
5,4,503,4_born_was_died_county,"['born', 'was', 'died', 'county', 'death', 'indicating', 'married', 'file', 'in', 'security']"
6,5,368,5_her_porn_sex_she,"['her', 'porn', 'sex', 'she', 'pussy', 'sexy', 'hot', 'ass', 'cock', 'and']"
7,6,366,6_bar_food_restaurant_beer,"['bar', 'food', 'restaurant', 'beer', 'our', 'and', 'to', 'for', 'the', 'you']"
8,7,346,7_game_games_your_you,"['game', 'games', 'your', 'you', 'the', 'to', 'is', 'can', 'players', 'of']"
9,8,324,8_her_she_his_he,"['her', 'she', 'his', 'he', 'to', 'is', 'him', 'that', 'the', 'but']"
10,9,316,9_movie_her_of_she,"['movie', 'her', 'of', 'she', 'film', 'the', 'india', 'in', 'he', 'his']"
11,10,199,10_quartet_string_music_orchestra,"['quartet', 'string', 'music', 'orchestra', 'piano', 'serafin', 'opera', 'the', 'of', 'concert']"
12,11,181,11_boots_rain_shoes_nike,"['boots', 'rain', 'shoes', 'nike', 'improvement', 'shoe', 'rubber', 'heel', 'boot', 'jordan']"
13,12,180,12_casino_slot_slots_games,"['casino', 'slot', 'slots', 'games', 'online', 'game', 'bonus', 'free', 'play', 'poker']"
14,13,150,13_school_elementary_students_schools,"['school', 'elementary', 'students', 'schools', 'we', 'our', 'children', 'high', 'year', 'to']"
15,14,136,14_fashion_clothing_and_designers,"['fashion', 'clothing', 'and', 'designers', 'the', 'to', 'collection', 'in', 'with', 'of']"
16,15,133,15_wearer_investigator_spell_of,"['wearer', 'investigator', 'spell', 'of', 'this', 'ring', 'command', 'creature', 'the', 'yorkshire']"
17,16,115,16_writing_book_was_it,"['writing', 'book', 'was', 'it', 'that', 'the', 'in', 'of', 'and', 'her']"
18,17,104,17_church_our_wallpaper_we,"['church', 'our', 'wallpaper', 'we', 'god', 'ministry', 'worship', 'bible', 'suffolk', 'christ']"
