,Topic,Count,Name,Representation
0,-1,10493,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'that', 'with', 'on']"
1,0,935,0_and_to_the_food,"['and', 'to', 'the', 'food', 'of', 'is', 'it', 'in', 'with', 'for']"
2,1,288,1_dog_dogs_to_and,"['dog', 'dogs', 'to', 'and', 'the', 'her', 'he', 'in', 'that', 'she']"
3,2,279,2_design_the_and_of,"['design', 'the', 'and', 'of', 'in', 'was', 'to', 'with', 'for', 'it']"
4,3,244,3_available_stock_now_blog,"['available', 'stock', 'now', 'blog', 'addition', 'currently', 'clock', 'my', 'get', 'you']"
5,4,204,4_the_of_to_road,"['the', 'of', 'to', 'road', 'and', 'on', 'is', 'in', 'for', 'will']"
6,5,203,5_cancer_her_she_bella,"['cancer', 'her', 'she', 'bella', 'to', 'and', 'for', 'is', 'the', 'of']"
7,6,178,6_quarks_garden_hadrons_of,"['quarks', 'garden', 'hadrons', 'of', 'it', 'the', 'and', 'plants', 'matter', 'flowers']"
8,7,176,7_unto_thy_lord_galaxy,"['unto', 'thy', 'lord', 'galaxy', 'thou', 'samsung', 'god', 'shall', 'ye', 'android']"
9,8,174,8_the_ufo_mars_of,"['the', 'ufo', 'mars', 'of', 'space', 'in', 'earth', 'on', 'to', 'that']"
10,9,168,9_baby_my_she_so,"['baby', 'my', 'she', 'so', 'me', 'her', 'we', 'have', 'it', 'im']"
11,10,160,10_car_cars_the_in,"['car', 'cars', 'the', 'in', 'of', 'and', 'is', 'it', 'to', 'this']"
12,11,158,11_fire_trent_kira_firefighters,"['fire', 'trent', 'kira', 'firefighters', 'her', 'she', 'smoke', 'to', 'was', 'the']"
13,12,134,12_driver_police_accident_road,"['driver', 'police', 'accident', 'road', 'car', 'vehicle', 'truck', 'was', 'driving', 'crash']"
14,13,133,13_world_in_paralympic_olympic,"['world', 'in', 'paralympic', 'olympic', 'the', 'championships', 'mens', 'her', 'womens', 'gold']"
15,14,131,14_wine_wines_winery_grapes,"['wine', 'wines', 'winery', 'grapes', 'the', 'tequila', 'distilling', 'and', 'vineyards', 'of']"
16,15,131,15_my_weight_me_it,"['my', 'weight', 'me', 'it', 'im', 'to', 'you', 'so', 'and', 'that']"
17,16,129,16_beer_brewery_craft_beers,"['beer', 'brewery', 'craft', 'beers', 'brewing', 'of', 'or', 'and', 'the', 'in']"
18,17,121,17_sloan_whaling_his_he,"['sloan', 'whaling', 'his', 'he', 'was', 'at', 'in', 'fremantle', 'of', 'harwood']"
19,18,120,18_golf_pga_january_held,"['golf', 'pga', 'january', 'held', 'at', 'americaorlando', 'fl', 'his', 'club', 'orlando']"
20,19,114,19_my_running_run_was,"['my', 'running', 'run', 'was', 'me', 'it', 'bike', 'but', 'had', 'to']"
21,20,110,20_game_shrewsbury_team_points,"['game', 'shrewsbury', 'team', 'points', 'season', 'state', 'the', 'in', 'at', 'on']"
22,21,107,21_airport_flights_airlines_flight,"['airport', 'flights', 'airlines', 'flight', 'airline', 'passengers', 'aircraft', 'seats', 'airways', 'to']"
23,22,105,22_shares_million_quarter_stock,"['shares', 'million', 'quarter', 'stock', 'company', 'of', 'share', 'in', 'inc', 'its']"
24,23,104,23_weather_snow_edt_is,"['weather', 'snow', 'edt', 'is', 'temperatures', 'the', 'of', 'will', 'this', 'kerala']"
25,24,92,24_fishing_fish_thesis_summary,"['fishing', 'fish', 'thesis', 'summary', 'my', 'and', 'fridge', 'bass', 'executive', 'compressor']"
26,25,88,25_cannabis_marijuana_medical_canada,"['cannabis', 'marijuana', 'medical', 'canada', 'hemp', 'cbd', 'stock', 'to', 'legal', 'industry']"
27,26,88,26_care_hospital_medical_health,"['care', 'hospital', 'medical', 'health', 'and', 'in', 'he', 'of', 'her', 'the']"
28,27,86,27_estate_of_the_in,"['estate', 'of', 'the', 'in', 'real', 'square', 'homes', 'properties', 'home', 'development']"
29,28,85,28_coffee_bitcoin_to_the,"['coffee', 'bitcoin', 'to', 'the', 'is', 'of', 'and', 'in', 'it', 'as']"
30,29,85,29_we_math_to_you,"['we', 'math', 'to', 'you', 'students', 'and', 'my', 'have', 'your', 'our']"
31,30,85,30_skin_href_my_you,"['skin', 'href', 'my', 'you', 'makeup', 'it', 'to', 'the', 'phosphate', 'that']"
32,31,82,31_in_he_the_and,"['in', 'he', 'the', 'and', 'to', 'is', 'with', 'for', 'his', 'of']"
33,32,78,32_nfl_jerseys_he_football,"['nfl', 'jerseys', 'he', 'football', 'your', 'you', 'his', 'game', 'the', 'to']"
34,33,77,33_college_students_dating_download,"['college', 'students', 'dating', 'download', 'locally', 'university', 'alumni', 'convex', 'engineering', 'program']"
35,34,77,34_flu_virus_bird_h1n1,"['flu', 'virus', 'bird', 'h1n1', 'health', 'poultry', 'patients', 'makassar', 'was', 'the']"
36,35,77,35_you_alaska_park_trail,"['you', 'alaska', 'park', 'trail', 'trip', 'we', 'to', 'your', 'are', 'is']"
37,36,76,36_the_and_clippers_in,"['the', 'and', 'clippers', 'in', 'of', 'to', 'shark', 'you', 'dive', 'diving']"
38,37,75,37_race_ferrari_vettel_hamilton,"['race', 'ferrari', 'vettel', 'hamilton', 'formula', 'lap', 'alonso', 'kimi', 'his', 'driver']"
39,38,72,38_iphone_apple_apples_phone,"['iphone', 'apple', 'apples', 'phone', 'ipad', 'ios', 'its', 'the', 'that', 'new']"
40,39,70,39_phage_phages_my_gym,"['phage', 'phages', 'my', 'gym', 'im', 'weight', 'it', 'workout', 'so', 'and']"
41,40,69,40_erectile_dysfunction_he_his,"['erectile', 'dysfunction', 'he', 'his', 'the', 'in', 'league', 'to', 'buy', 'hit']"
42,41,68,41_phosphorous_business_2018_company,"['phosphorous', 'business', '2018', 'company', 'credit', 'financial', 'idex', 'companies', 'market', 'its']"
43,42,68,42_air_force_aircraft_aviation,"['air', 'force', 'aircraft', 'aviation', 'squadron', 'exercise', 'during', 'corps', 'combat', 'training']"
44,43,66,43_and_the_for_of,"['and', 'the', 'for', 'of', 'is', 'on', 'to', 'with', 'in', 'that']"
45,44,66,44_card_your_and_you,"['card', 'your', 'and', 'you', 'of', 'with', 'stamp', 'the', 'dating', 'is']"
46,45,65,45_zdirection_sanitary_topsheet_napkin,"['zdirection', 'sanitary', 'topsheet', 'napkin', 'caliper', 'backsheet', 'spring', 'fabric', 'core', 'the']"
47,46,62,46_photography_photographers_tumors_weston,"['photography', 'photographers', 'tumors', 'weston', 'camera', 'photographer', 'my', 'malignant', 'lens', 'benign']"
48,47,61,47_tv_content_for_video,"['tv', 'content', 'for', 'video', 'and', 'television', 'of', 'silicosis', 'to', 'that']"
49,48,60,48_bike_lock_ride_you,"['bike', 'lock', 'ride', 'you', 'to', 'the', 'on', 'and', 'your', 'of']"
50,49,60,49_birds_dating_bird_chicks,"['birds', 'dating', 'bird', 'chicks', 'was', 'sirius', 'the', 'birding', 'this', 'in']"
51,50,58,50_fight_boxing_ufc_his,"['fight', 'boxing', 'ufc', 'his', 'mma', 'round', 'champion', 'title', 'vs', 'he']"
52,51,57,51_href_viagra_cialis_buy,"['href', 'viagra', 'cialis', 'buy', 'generic', 'the', 'onlinea', 'online', 'to', 'of']"
53,52,57,52_tobacco_cigarettes_nicotine_smoking,"['tobacco', 'cigarettes', 'nicotine', 'smoking', 'cigarette', 'ecigarettes', 'djarum', 'kretek', 'smokers', 'pipe']"
54,53,55,53_robot_robots_brain_be,"['robot', 'robots', 'brain', 'be', 'human', 'to', 'will', 'of', 'the', 'is']"
55,54,54,54_yoga_class_my_me,"['yoga', 'class', 'my', 'me', 'was', 'and', 'body', 'to', 'it', 'that']"
56,55,52,55_waste_recycling_culhane_anchorage,"['waste', 'recycling', 'culhane', 'anchorage', 'compost', 'guardiola', 'plastic', 'tabs', 'landfill', 'bayern']"
57,56,51,56_healthcare_health_solutions_medical,"['healthcare', 'health', 'solutions', 'medical', 'clinical', 'patient', 'technology', 'care', 'management', 'ehr']"
58,57,50,57_lap_race_speedway_laps,"['lap', 'race', 'speedway', 'laps', 'racing', 'his', 'nascar', 'series', 'track', 'at']"
59,58,50,58_pei_reliability_buried_download,"['pei', 'reliability', 'buried', 'download', 'cemetery', 'geotechnical', 'died', 'shaw', 'market', 'sales']"
60,59,48,59_jump_ncaa_in_second,"['jump', 'ncaa', 'in', 'second', 'team', 'meet', 'her', 'womens', 'championships', 'relay']"
61,60,45,60_google_its_apple_android,"['google', 'its', 'apple', 'android', 'app', 'has', 'to', 'samsung', 'that', 'is']"
62,61,44,61_dinosaurs_dinosaur_his_he,"['dinosaurs', 'dinosaur', 'his', 'he', 'that', 'boy', 'the', 'of', 'fossils', 'fossil']"
63,62,43,62_food_viagra_arsenic_pfizer,"['food', 'viagra', 'arsenic', 'pfizer', 'coupon', 'pallida', 'foods', 'manure', 'products', 'recall']"
64,63,43,63_hair_my_it_you,"['hair', 'my', 'it', 'you', 'blonde', 'so', 'im', 'to', 'but', 'like']"
65,64,42,64_cloud_aws_customers_boy,"['cloud', 'aws', 'customers', 'boy', 'girl', 'vmware', 'software', 'support', 'server', 'platform']"
66,65,42,65_paint_viagra_stage_canada,"['paint', 'viagra', 'stage', 'canada', 'painting', 'and', 'it', 'of', 'the', 'to']"
67,66,40,66_gold_rs_ounce_price,"['gold', 'rs', 'ounce', 'price', 'trading', 'quote', 'resistance', 'voice', 'glympse', 'hkkinen']"
68,67,39,67_pm_cuevas_you_ctnoel,"['pm', 'cuevas', 'you', 'ctnoel', 'your', 'are', 'to', 'we', 'that', 'ads']"
69,68,39,68_destroyers_departed_destroyer_rnznvr,"['destroyers', 'departed', 'destroyer', 'rnznvr', 'sqn', 'convoy', 'lieutenant', 'cruiser', 'steamer', 'corvettes']"
70,69,38,69_horse_horses_dressage_equine,"['horse', 'horses', 'dressage', 'equine', 'and', 'the', 'show', 'equestrian', 'of', 'tests']"
71,70,38,70_roman_ancient_century_bc,"['roman', 'ancient', 'century', 'bc', 'of', 'the', 'greek', 'built', 'archaeological', 'archaeologists']"
72,71,38,71_score_varsity_against_game,"['score', 'varsity', 'against', 'game', 'team', 'fridays', 'nonconference', 'conference', 'lost', 'won']"
73,72,37,72_island_islands_diving_the,"['island', 'islands', 'diving', 'the', 'of', 'is', 'and', 'fiji', 'coral', 'on']"
74,73,37,73_hurricane_storm_tropical_winds,"['hurricane', 'storm', 'tropical', 'winds', 'storms', 'florence', 'forecast', 'gulf', 'landfall', 'coast']"
75,74,36,74_jongin_his_baekhyun_he,"['jongin', 'his', 'baekhyun', 'he', 'gillespie', 'china', 'fucked', 'cobalt', 'xu', 'jongins']"
