,Topic,Count,Name,Representation
0,-1,7502,-1_and_the_to_of,"['and', 'the', 'to', 'of', 'in', 'that', 'is', 'for', 'it', 'you']"
1,0,537,0_wine_wines_fruit_palate,"['wine', 'wines', 'fruit', 'palate', 'and', 'with', 'of', 'the', 'in', 'pinot']"
2,1,467,1_phone_iphone_camera_galaxy,"['phone', 'iphone', 'camera', 'galaxy', 'android', 'smartphone', 'phones', 'battery', 'device', 'samsung']"
3,2,460,2_dog_dogs_pet_cat,"['dog', 'dogs', 'pet', 'cat', 'pets', 'your', 'cats', 'to', 'litter', 'and']"
4,3,374,3_hotel_room_was_staff,"['hotel', 'room', 'was', 'staff', 'very', 'stay', 'breakfast', 'rooms', 'we', 'were']"
5,4,352,4_my_me_life_we,"['my', 'me', 'life', 'we', 'and', 'to', 'that', 'of', 'the', 'in']"
6,5,342,5_room_design_bedroom_ideas,"['room', 'design', 'bedroom', 'ideas', 'living', 'interior', 'home', 'wall', 'decorating', 'house']"
7,6,331,6_food_was_chicken_restaurant,"['food', 'was', 'chicken', 'restaurant', 'the', 'and', 'with', 'of', 'in', 'rice']"
8,7,244,7_god_of_we_in,"['god', 'of', 'we', 'in', 'jesus', 'paddle', 'the', 'he', 'and', 'to']"
9,8,228,8_fitness_workout_gym_exercise,"['fitness', 'workout', 'gym', 'exercise', 'training', 'you', 'your', 'and', 'to', 'crossfit']"
10,9,211,9_beer_beers_ale_malt,"['beer', 'beers', 'ale', 'malt', 'hops', 'brewery', 'this', 'ipa', 'is', 'brewing']"
11,10,209,10_weight_diet_fat_loss,"['weight', 'diet', 'fat', 'loss', 'lose', 'you', 'body', 'calories', 'eating', 'healthy']"
12,11,207,11_skin_my_face_products,"['skin', 'my', 'face', 'products', 'product', 'oil', 'it', 'makro', 'this', 'soap']"
13,12,197,12_jordan_7210_11s_bra,"['jordan', '7210', '11s', 'bra', 'wear', 'yeezy', 'look', 'are', 'for', 'you']"
14,13,191,13_dumpster_trash_rental_waste,"['dumpster', 'trash', 'rental', 'waste', 'rent', 'dumpsters', 'yard', 'garbage', 'you', 'your']"
15,14,186,14_car_2019_cars_ford,"['car', '2019', 'cars', 'ford', 'the', 'bmw', 'its', 'audi', 'and', 'in']"
16,15,182,15_students_child_kids_children,"['students', 'child', 'kids', 'children', 'math', 'school', 'their', 'to', 'them', 'and']"
17,16,161,16_kitchen_design_ideas_cabinet,"['kitchen', 'design', 'ideas', 'cabinet', 'cabinets', 'kitchens', 'designs', 'space', 'modern', 'island']"
18,17,154,17_bathroom_design_vanity_shower,"['bathroom', 'design', 'vanity', 'shower', 'ideas', 'tile', 'bathrooms', 'vanities', 'mirror', 'home']"
19,18,139,18_shoes_shoe_boots_nike,"['shoes', 'shoe', 'boots', 'nike', 'pair', 'feet', 'the', 'are', 'in', 'you']"
20,19,138,19_hair_shampoo_dry_conditioner,"['hair', 'shampoo', 'dry', 'conditioner', 'scalp', 'sa', 'my', 'auction', 'product', 'it']"
21,20,137,20_jewelry_ring_diamond_rings,"['jewelry', 'ring', 'diamond', 'rings', 'diamonds', 'gold', 'wedding', 'ruby', 'engagement', 'you']"
22,21,132,21_baby_my_h2o2_was,"['baby', 'my', 'h2o2', 'was', 'we', 'she', 'child', 'her', 'pregnant', 'me']"
23,22,125,22_job_our_work_he,"['job', 'our', 'work', 'he', 'we', 'was', 'very', 'recommend', 'professional', 'and']"
24,23,120,23_wedding_flowers_photographer_your,"['wedding', 'flowers', 'photographer', 'your', 'you', 'to', 'photography', 'for', 'are', 'and']"
25,24,118,24_pizza_italian_restaurant_pizzas,"['pizza', 'italian', 'restaurant', 'pizzas', 'was', 'insurance', 'we', 'sauce', 'crust', 'food']"
26,25,114,25_coffee_espresso_cup_of,"['coffee', 'espresso', 'cup', 'of', 'the', 'and', 'in', 'with', 'to', 'is']"
27,26,109,26_trading_target_binary_inactivation,"['trading', 'target', 'binary', 'inactivation', 'sc', 'stock', 'forex', 'trade', 'distractor', 'market']"
28,27,103,27_hair_hairstyles_hairstyle_haircut,"['hair', 'hairstyles', 'hairstyle', 'haircut', 'haircuts', 'short', 'style', 'look', 'curly', 'women']"
29,28,102,28_furniture_furnishings_sofa_room,"['furniture', 'furnishings', 'sofa', 'room', 'home', 'you', 'table', 'your', 'couch', 'wood']"
30,29,100,29_home_buyers_house_estate,"['home', 'buyers', 'house', 'estate', 'property', 'your', 'homes', 'you', 'market', 'real']"
31,30,92,30_running_run_marathon_clipless,"['running', 'run', 'marathon', 'clipless', 'bike', 'race', 'training', 'pedals', 'runners', 'my']"
32,31,91,31_that_of_science_the,"['that', 'of', 'science', 'the', 'is', 'in', 'not', 'we', 'to', 'scientific']"
33,32,90,32_home_our_us_we,"['home', 'our', 'us', 'we', 'she', 'estate', 'realtor', 'process', 'her', 'was']"
34,33,89,33_chocolate_ice_cream_chocolates,"['chocolate', 'ice', 'cream', 'chocolates', 'and', 'the', 'was', 'of', 'flavors', 'candy']"
35,34,89,34_dental_teeth_dentist_my,"['dental', 'teeth', 'dentist', 'my', 'oral', 'dr', 'you', 'and', 'your', 'to']"
36,35,87,35_tea_teas_eleanor_flavor,"['tea', 'teas', 'eleanor', 'flavor', 'taste', 'indicating', 'it', 'this', 'cdn', 'was']"
37,36,84,36_mattress_foam_bed_mattresses,"['mattress', 'foam', 'bed', 'mattresses', 'sleep', 'memory', 'latex', 'sleeping', 'it', 'you']"
38,37,84,37_burger_burgers_fries_beef,"['burger', 'burgers', 'fries', 'beef', 'steak', 'sandwich', 'was', 'cheese', 'the', 'at']"
39,38,81,38_they_my_customer_was,"['they', 'my', 'customer', 'was', 'received', 'not', 'order', 'for', 'on', 'had']"
40,39,79,39_camera_nikon_lens_cameras,"['camera', 'nikon', 'lens', 'cameras', 'canon', 'shooting', 'd7100', 'sony', 'sensor', 'dslr']"
41,40,78,40_tacos_taco_mexican_restaurant,"['tacos', 'taco', 'mexican', 'restaurant', 'was', 'food', 'and', 'the', 'in', 'menu']"
42,41,78,41_affiliate_marketing_internet_eating,"['affiliate', 'marketing', 'internet', 'eating', 'food', 'online', 'you', 'eat', 'healthy', 'tooele']"
43,42,76,42_dumpster_trash_rent_waste,"['dumpster', 'trash', 'rent', 'waste', 'yard', 'rental', 'dumpsters', 'garbage', 'company', 'you']"
44,43,74,43_yoga_mat_practice_class,"['yoga', 'mat', 'practice', 'class', 'pose', 'poses', 'body', 'my', 'and', 'teacher']"
45,44,74,44_foundation_skin_makeup_hon,"['foundation', 'skin', 'makeup', 'hon', 'concealer', 'powder', 'my', 'it', 'this', 'that']"
46,45,69,45_sleep_morning_oncos102_your,"['sleep', 'morning', 'oncos102', 'your', 'you', 'of', 'to', 'and', 'wake', 'alarm']"
47,46,68,46_headphones_sound_bass_speaker,"['headphones', 'sound', 'bass', 'speaker', 'speakers', 'music', 'headphone', 'audio', 'the', 'wireless']"
48,47,67,47_massage_spa_massages_and,"['massage', 'spa', 'massages', 'and', 'is', 'the', 'body', 'in', 'to', 'of']"
49,48,67,48_moving_movers_move_storage,"['moving', 'movers', 'move', 'storage', 'boxes', 'packing', 'you', 'your', 'home', 'truck']"
50,49,65,49_insurance_coverage_policy_policies,"['insurance', 'coverage', 'policy', 'policies', 'auto', 'car', 'homeowners', 'you', 'premiums', 'your']"
51,50,64,50_blog_content_posts_writing,"['blog', 'content', 'posts', 'writing', 'site', 'readers', 'post', 'your', 'you', 'write']"
52,51,64,51_population_climate_co2_nimby,"['population', 'climate', 'co2', 'nimby', 'fertility', 'energy', 'wind', 'warming', 'global', 'windfarm']"
53,52,63,52_bag_bags_backpack_it,"['bag', 'bags', 'backpack', 'it', 'the', 'is', 'survival', 'jacksonville', 'handbags', 'of']"
54,53,61,53_sunscreen_tanning_skin_sun,"['sunscreen', 'tanning', 'skin', 'sun', 'tan', 'lotion', 'spf', 'sunscreens', 'spf30', 'the']"
55,54,59,54_photography_camera_photographer_photo,"['photography', 'camera', 'photographer', 'photo', 'pictures', 'you', 'photos', 'photographers', 'images', 'to']"
56,55,58,55_laptop_pro_implant_surface,"['laptop', 'pro', 'implant', 'surface', 'laptops', 'hp', 'macbook', 'intel', 'envy', 'battery']"
57,56,58,56_nail_nails_polish_coat,"['nail', 'nails', 'polish', 'coat', 'manicure', 'art', 'polishes', 'gel', 'purple', 'base']"
58,57,57,57_pest_he_navitas_bugs,"['pest', 'he', 'navitas', 'bugs', 'home', 'god', 'him', 'your', 'tech', 'air']"
59,58,56,58_corridor_transit_bus_rail,"['corridor', 'transit', 'bus', 'rail', 'harrisburghersheylebanon', 'ns', 'service', 'harrisburg', 'hershey', 'akaroa']"
60,59,56,59_maglev_hsr_hyperloop_resume,"['maglev', 'hsr', 'hyperloop', 'resume', 'rail', 'shinkansen', 'engineering', 'conventional', 'in', 'syrian']"
61,60,56,60_mrs_kindschi_mr_year,"['mrs', 'kindschi', 'mr', 'year', 'wagner', 'resolutions', 'goals', 'sunday', 'plutarchs', 'new']"
62,61,55,61_guitar_music_instrument_guitars,"['guitar', 'music', 'instrument', 'guitars', 'acoustic', 'lessons', 'singing', 'you', 'piano', 'sound']"
63,62,55,62_watch_watches_replica_dial,"['watch', 'watches', 'replica', 'dial', 'centrifuges', 'breitling', 'omega', 'rolex', 'movement', 'market']"
64,63,51,63_bike_bikes_ride_motorcycle,"['bike', 'bikes', 'ride', 'motorcycle', 'bicycle', 'riding', 'the', 'to', 'of', 'its']"
65,64,50,64_dating_online_sites_habits,"['dating', 'online', 'sites', 'habits', 'singles', 'site', 'free', '10', 'com', 'date']"
66,65,49,65_park_rv_campground_sites,"['park', 'rv', 'campground', 'sites', 'we', 'camped', 'lake', 'trail', 'was', 'there']"
67,66,49,66_sex_penis_her_orgasm,"['sex', 'penis', 'her', 'orgasm', 'foreplay', 'sexual', 'your', 'breast', 'breasts', 'she']"
68,67,47,67_glasses_sunglasses_lenses_face,"['glasses', 'sunglasses', 'lenses', 'face', 'eyes', 'frames', 'eyeglasses', 'pair', 'filters', 'lens']"
69,68,47,68_jefferson_jeffersons_meacham_book,"['jefferson', 'jeffersons', 'meacham', 'book', 'his', 'recipes', 'he', 'biography', 'cookbook', 'of']"
70,69,46,69_lipstick_lips_lip_shade,"['lipstick', 'lips', 'lip', 'shade', 'lipsticks', 'color', 'matte', 'nude', 'pink', 'shades']"
71,70,46,70_camping_tent_kerala_you,"['camping', 'tent', 'kerala', 'you', 'the', 'are', 'is', 'to', 'your', 'can']"
72,71,46,71_cruise_boat_hawaii_island,"['cruise', 'boat', 'hawaii', 'island', 'was', 'trip', 'sea', 'and', 'the', 'were']"
73,72,46,72_smoking_cigarette_cigarettes_smoke,"['smoking', 'cigarette', 'cigarettes', 'smoke', 'tobacco', 'quit', 'nicotine', 'smokers', 'quitting', 'ecigarettes']"
74,73,46,73_facebook_social_media_marketing,"['facebook', 'social', 'media', 'marketing', 'surgery', 'your', 'dumpster', 'windshield', 'page', 'trans']"
75,74,45,74_video_joe_anna_videos,"['video', 'joe', 'anna', 'videos', 'dvd', 'asphalt', 'tapes', 'sound', 'expository', 'essay']"
76,75,43,75_baby_nappies_nappy_cloth,"['baby', 'nappies', 'nappy', 'cloth', 'diapers', 'shower', 'diaper', 'duo', 'insert', 'infant']"
77,76,43,76_sales_pool_marketing_swimming,"['sales', 'pool', 'marketing', 'swimming', 'product', 'business', 'customers', 'in', 'that', 'to']"
