,Topic,Count,Name,Representation
0,-1,4300,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'it', 'that', 'for', 'you']"
1,0,279,0_need_design_website_for,"['need', 'design', 'website', 'for', 'we', 'to', 'and', 'be', 'project', 'in']"
2,1,200,1_the_and_gun_of,"['the', 'and', 'gun', 'of', 'rifle', 'it', 'in', 'with', 'to', 'for']"
3,2,141,2_the_of_and_for,"['the', 'of', 'and', 'for', 'with', 'makeup', 'to', 'saw', 'in', 'table']"
4,3,141,3_camera_canon_lens_lenses,"['camera', 'canon', 'lens', 'lenses', 'the', 'is', 'to', 'cameras', 'and', 'for']"
5,4,137,4_boat_the_and_of,"['boat', 'the', 'and', 'of', 'to', 'in', 'on', 'that', 'is', 'it']"
6,5,135,5_router_network_to_wireless,"['router', 'network', 'to', 'wireless', 'it', 'the', 'and', 'wifi', 'my', 'is']"
7,6,130,6_flight_the_of_to,"['flight', 'the', 'of', 'to', 'that', 'in', 'aircraft', 'is', 'and', 'at']"
8,7,127,7_the_of_and_speakers,"['the', 'of', 'and', 'speakers', 'bass', 'in', 'to', 'amp', 'sound', 'for']"
9,8,121,8_of_paint_the_to,"['of', 'paint', 'the', 'to', 'and', 'in', 'is', 'you', 'that', 'with']"
10,9,110,9_printer_vpn_print_you,"['printer', 'vpn', 'print', 'you', 'to', 'the', 'and', 'your', 'is', 'on']"
11,10,107,10_car_varsity_bmw_cars,"['car', 'varsity', 'bmw', 'cars', 'score', 'the', 'feyewear', 'and', 'of', 'it']"
12,11,103,11_bike_the_and_ride,"['bike', 'the', 'and', 'ride', 'bikes', 'to', 'of', 'dating', 'on', 'it']"
13,12,101,12_error_windows_my_computer,"['error', 'windows', 'my', 'computer', 'it', 'have', 'to', 'and', 'this', 'is']"
14,13,95,13_vortec_the_and_engine,"['vortec', 'the', 'and', 'engine', 'to', 'it', 'in', 'for', 'of', 'with']"
15,14,91,14_wheels_tires_tyres_the,"['wheels', 'tires', 'tyres', 'the', 'wheel', 'on', 'and', 'to', 'in', 'for']"
