,register,genre,support,topic_names,coverage
0,HI,CookbooksFood&Wine,6838,"['0_paneer_indian_is_and', '1_soup_and_the_to', '2_chicken_the_and_of', '3_cake_the_and_it', '4_cookies_cookie_chocolate_my']",0.17680608365019013
1,HI,Engineering&Transportation,5875,"['0_router_network_to_the', '1_tv_the_to_of', '2_and_the_of_to', '3_printer_hp_driver_print', '4_driver_drivers_windows_download']",0.18365957446808512
2,HI,Literature&Fiction,3815,"['0_the_of_and_to', '1_the_and_of_in', '2_to_and_the_for', '3_the_you_is_and', '4_guitar_the_chords_play']",0.3528178243774574
3,HI,Medicine&HealthSciences,877,"['0_the_to_of_and', '1_the_your_and_to', '2_the_to_and_of', '3_skin_and_the_to', '4_teeth_to_your_the']",0.8597491448118586
4,HI,Politics&SocialSciences,10219,"['0_search_seo_google_keywords', '1_mixed_votes_biennale_page', '2_email_outlook_mail_gmail', '3_essay_writing_thesis_write', '4_students_student_20102011_respondents']",0.1676289265094432
5,ID,Engineering&Transportation,8759,"['0_need_design_website_for', '1_the_and_gun_of', '2_the_of_and_for', '3_camera_canon_lens_lenses', '4_boat_the_and_of']",0.1736499600411006
6,ID,Literature&Fiction,18947,"['0_hotel_room_we_was', '1_game_games_it_the', '2_thank_your_dear_review', '3_god_of_the_lord', '4_english_in_is_you']",0.19760384229693356
7,ID,Medicine&HealthSciences,1278,"['0_the_to_and_you', '1_the_to_and_of', '2_the_and_to_my', '3_and_000000_patient_the', '4_the_and_to_of']",0.49139280125195617
8,ID,Politics&SocialSciences,8300,"['0_wa_custer_distance_the', '1_church_god_catholic_of', '2_windows_computer_it_files', '3_you_school_law_in', '4_hotel_room_was_we']",0.16843373493975905
9,ID,Science&Math,1001,"['0_the_of_to_is', '1_to_the_and_of', '2_the_and_to_of', '3_the_and_to_of', '4_the_to_and_it']",0.8381618381618382
10,IN,CookbooksFood&Wine,2228,"['0_juice_fruit_and_the', '1_coffee_the_of_espresso', '2_cooking_and_the_to', '3_wine_the_ebook_of', '4_blade_grinder_the_and']",0.28545780969479356
11,IN,Engineering&Transportation,20000,"['0_led_lighting_light_lights', '1_housing_sound_affordable_affordability', '2_cloud_data_server_database', '3_cleaning_cleaner_vacuum_carpet', '4_air_ac_conditioning_repair']",0.097
12,IN,Literature&Fiction,20000,"['0_her_porn_sex_pussy', '1_hotel_property_room_rooms', '2_art_artists_exhibition_painting', '3_album_music_band_the', '4_game_games_you_to']",0.24745
13,IN,Medicine&HealthSciences,20000,"['0_dental_teeth_tooth_dentist', '1_eye_vision_lasik_eyes', '2_addiction_alcohol_drug_abuse', '3_cancer_breast_alliance_women', '4_cells_protein_cell_proteins']",0.1532
14,IN,Politics&SocialSciences,20000,"['0_bus_hotel_the_and', '1_church_ministry_churches_baptist', '2_art_arts_artists_artist', '3_city_council_county_the', '4_essay_writing_paper_essays']",0.11215
15,IN,Science&Math,12814,"['0_is_if_that_be', '1_flowers_avocado_plant_fruit', '2_of_in_the_gene', '3_birds_bird_they_are', '4_cows_cattle_milk_dairy']",0.19720618073981583
16,IP,CookbooksFood&Wine,1396,"['0_with_and_served_sauce', '1_to_you_and_the', '2_nonstick_and_pan_the', '3_coffee_the_of_to', '4_the_and_for_with']",0.4491404011461318
17,IP,Engineering&Transportation,20000,"['0_led_light_lighting_lights', '1_would_software_data_business', '2_insurance_furniture_storage_car', '3_sound_audio_midi_speaker', '4_temperature_measurement_the_is']",0.16035
18,IP,Literature&Fiction,20000,"['0_the_and_in_with', '1_music_the_of_and', '2_her_she_his_the', '3_shoes_leather_heel_shoe', '4_bag_leather_pocket_laptop']",0.37075
19,IP,Medicine&HealthSciences,4352,"['0_viagra_buy_online_to', '1_skin_and_it_oil', '2_dental_dentistry_dentist_we', '3_rna_cell_antibody_cells', '4_massage_download_the_healing']",0.2977941176470588
20,IP,Politics&SocialSciences,20000,"['0_insurance_coverage_policy_auto', '1_essay_writing_paper_writers', '2_loans_loan_cash_payday', '3_estate_real_home_homes', '4_god_church_bible_jesus']",0.12855
21,IP,Science&Math,1112,"['0_of_the_and_to', '1_the_and_to_is', '2_the_and_soil_to', '3_flowers_and_to_the', '4_and_the_to_of']",0.6330935251798561
22,LY,Literature&Fiction,1908,"['0_to_the_and_you', '1_you_to_me_the', '2_her_the_to_was', '3_the_and_to_of', '4_you_and_we_me']",0.5110062893081762
