,Topic,Count,Name,Representation
0,-1,8842,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'with', 'on', 'you']"
1,0,267,0_landing_vipers_cars_car,"['landing', 'vipers', 'cars', 'car', 'page', 'vernon', 'used', 'puck', 'vehicle', 'vees']"
2,1,257,1_weight_diet_fat_loss,"['weight', 'diet', 'fat', 'loss', 'protein', 'body', 'powder', 'food', 'muscle', 'as']"
3,2,241,2_shipping_order_item_items,"['shipping', 'order', 'item', 'items', 'delivery', 'orders', 'days', 'ship', 'return', 'please']"
4,3,237,3_diamond_gold_diamonds_rings,"['diamond', 'gold', 'diamonds', 'rings', 'ring', 'jewelry', 'silver', 'beads', 'necklace', 'engagement']"
5,4,211,4_shoes_shoe_boots_ugg,"['shoes', 'shoe', 'boots', 'ugg', 'nike', 'foot', 'feet', 'footwear', 'outsole', 'comfort']"
6,5,207,5_estate_real_dubai_homes,"['estate', 'real', 'dubai', 'homes', 'property', 'listings', 'sale', 'home', 'properties', 'mls']"
7,6,189,6_car_rental_hire_airport,"['car', 'rental', 'hire', 'airport', 'bus', 'limo', 'taxi', 'cars', 'you', 'vehicle']"
8,7,187,7_hair_salon_extensions_wigs,"['hair', 'salon', 'extensions', 'wigs', 'beauty', 'cut', 'wig', 'stylists', 'human', 'haircut']"
9,8,171,8_jacket_shorts_fabric_fit,"['jacket', 'shorts', 'fabric', 'fit', 'compression', 'waist', 'pockets', 'womens', 'jersey', 'stretch']"
10,9,158,9_anthrax_fbi_room_kitchen,"['anthrax', 'fbi', 'room', 'kitchen', 'bedroom', 'home', 'floor', 'living', 'master', 'bath']"
11,10,157,10_bag_laptop_pocket_bags,"['bag', 'laptop', 'pocket', 'bags', 'wallet', 'pockets', 'compartment', 'case', 'shoulder', 'strap']"
12,11,148,11_menu_catering_food_restaurant,"['menu', 'catering', 'food', 'restaurant', 'chef', 'cuisine', 'our', 'delicious', 'menus', 'dinner']"
13,12,144,12_locksmith_lock_locks_locksmiths,"['locksmith', 'lock', 'locks', 'locksmiths', 'keys', 'services', 'key', 'security', 'emergency', 'lockout']"
14,13,142,13_resource_coupon_coupons_download,"['resource', 'coupon', 'coupons', 'download', 'codes', 'statistical', 'animals', 'selection', 'promo', 'code']"
