,Topic,Count,Name,Representation
0,-1,8396,-1_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'for', 'that', 'is', 'on', 'with']"
1,0,800,0_her_porn_sex_pussy,"['her', 'porn', 'sex', 'pussy', 'cock', 'hot', 'videos', 'she', 'big', 'ass']"
2,1,754,1_hotel_property_room_rooms,"['hotel', 'property', 'room', 'rooms', 'located', 'with', 'is', 'beach', 'home', 'and']"
3,2,541,2_art_artists_exhibition_painting,"['art', 'artists', 'exhibition', 'painting', 'artist', 'of', 'paintings', 'work', 'the', 'in']"
4,3,533,3_album_music_band_the,"['album', 'music', 'band', 'the', 'song', 'on', 'and', 'of', 'was', 'that']"
5,4,528,4_game_games_you_to,"['game', 'games', 'you', 'to', 'the', 'will', 'is', 'of', 'it', 'that']"
6,5,480,5_furniture_chair_bedroom_chairs,"['furniture', 'chair', 'bedroom', 'chairs', 'ideas', 'design', 'room', 'wingback', 'table', 'dining']"
7,6,470,6_her_she_he_to,"['her', 'she', 'he', 'to', 'the', 'of', 'his', 'is', 'that', 'and']"
8,7,379,7_cotton_fit_fabric_dress,"['cotton', 'fit', 'fabric', 'dress', 'with', 'polo', 'ralph', 'jeans', 'shorts', 'shirt']"
9,8,257,8_born_was_oklahoma_mary,"['born', 'was', 'oklahoma', 'mary', 'he', 'registered', 'vote', 'died', 'abt', 'county']"
10,9,207,9_nike_shoes_max_air,"['nike', 'shoes', 'max', 'air', 'leather', 'shoe', 'jordan', 'louboutin', 'boots', 'beats']"
11,10,198,10_pdf_description_file_short,"['pdf', 'description', 'file', 'short', 'because', 'no', 'doc', 'manual', 'this', 'answers']"
12,11,195,11_casino_slot_slots_poker,"['casino', 'slot', 'slots', 'poker', 'games', 'bonus', 'spins', 'online', 'play', 'game']"
13,12,177,12_film_he_films_movies,"['film', 'he', 'films', 'movies', 'the', 'was', 'in', 'his', 'actor', 'and']"
14,13,177,13_restaurant_beer_food_bar,"['restaurant', 'beer', 'food', 'bar', 'wine', 'menu', 'cincinnati', 'the', 'and', 'in']"
15,14,171,14_diamond_gold_earrings_necklace,"['diamond', 'gold', 'earrings', 'necklace', 'jewelry', 'ring', 'silver', 'rings', 'sterling', 'coins']"
16,15,162,15_fashion_like_and_with,"['fashion', 'like', 'and', 'with', 'collection', 'to', 'style', 'for', 'that', 'the']"
17,16,156,16_bus_stop_lane_road,"['bus', 'stop', 'lane', 'road', 'buses', 'rd', 'trail', 'ackton', 'featherstone', 'park']"
18,17,156,17_dating_singles_online_sites,"['dating', 'singles', 'online', 'sites', 'free', 'site', 'women', 'meet', 'single', 'for']"
19,18,154,18_wallpaper_upload_resolution_admin,"['wallpaper', 'upload', 'resolution', 'admin', 'clicking', 'download', 'hd', 'comment', 'forget', 'rate']"
20,19,151,19_entry_rss_responses_filed,"['entry', 'rss', 'responses', 'filed', 'posted', 'trackback', 'feed', 'follow', '20', 'response']"
21,20,150,20_orchestra_music_symphony_opera,"['orchestra', 'music', 'symphony', 'opera', 'concert', 'organ', 'the', 'conductor', 'in', 'of']"
22,21,145,21_church_worship_god_our,"['church', 'worship', 'god', 'our', 'cottesmore', 'and', 'at', 'of', 'sunday', 'for']"
23,22,138,22_tickets_ticket_concert_event,"['tickets', 'ticket', 'concert', 'event', 'seats', 'at', 'festival', 'events', 'nevada', 'ballet']"
24,23,127,23_shopping_deals_delivery_online,"['shopping', 'deals', 'delivery', 'online', 'coupons', 'discount', 'patients', 'cts', 'codes', 'clot']"
