,Topic,Count,Name,Representation
0,-1,7310,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'for', 'with', 'that', 'on']"
1,0,376,0_leadership_and_coaching_to,"['leadership', 'and', 'coaching', 'to', 'business', 'that', 'powerpoint', 'the', 'of', 'they']"
2,1,309,1_essay_writing_paper_writers,"['essay', 'writing', 'paper', 'writers', 'papers', 'essays', 'assignment', 'dissertation', 'academic', 'custom']"
3,2,282,2_insurance_coverage_policy_auto,"['insurance', 'coverage', 'policy', 'auto', 'your', 'health', 'cover', 'life', 'you', 'to']"
4,3,269,3_estate_real_home_homes,"['estate', 'real', 'home', 'homes', 'sale', 'property', 'market', 'buyers', 'selling', 'listings']"
5,4,252,4_god_church_jesus_bible,"['god', 'church', 'jesus', 'bible', 'of', 'belief', 'the', 'christian', 'book', 'ebook']"
6,5,227,5_accounting_tax_business_quickbooks,"['accounting', 'tax', 'business', 'quickbooks', 'software', 'financial', 'bookkeeping', 'payroll', 'your', 'we']"
7,6,204,6_bedroom_apartment_apartments_room,"['bedroom', 'apartment', 'apartments', 'room', 'is', 'in', 'the', 'and', 'this', 'rent']"
8,7,188,7_tour_hotel_travel_day,"['tour', 'hotel', 'travel', 'day', 'hajj', 'tours', 'city', 'breakfast', 'the', 'hotels']"
9,8,186,8_students_learning_school_education,"['students', 'learning', 'school', 'education', 'teaching', 'teachers', 'reading', 'language', 'clipart', 'educational']"
10,9,178,9_loans_cash_loan_payday,"['loans', 'cash', 'loan', 'payday', 'credit', 'advance', 'unsecure', 'lenders', 'quick', 'fast']"
11,10,170,10_seo_search_engine_marketing,"['seo', 'search', 'engine', 'marketing', 'website', 'optimization', 'optimisation', 'google', 'engines', 'web']"
12,11,154,11_beach_villa_hotel_resort,"['beach', 'villa', 'hotel', 'resort', 'pool', 'the', 'and', 'located', 'with', 'is']"
13,12,151,12_his_the_of_book,"['his', 'the', 'of', 'book', 'was', 'he', 'and', 'her', 'in', 'this']"
14,13,149,13_escorts_escort_girls_call,"['escorts', 'escort', 'girls', 'call', 'you', 'girl', 'are', 'they', 'will', 'nagar']"
15,14,146,14_phone_calls_call_voip,"['phone', 'calls', 'call', 'voip', 'number', 'service', 'voice', 'your', 'you', 'can']"
16,15,142,15_tickets_ticket_concert_seats,"['tickets', 'ticket', 'concert', 'seats', 'event', 'events', 'musicolympus', 'music', 'upcoming', 'are']"
17,16,140,16_shipping_delivery_order_item,"['shipping', 'delivery', 'order', 'item', 'please', 'orders', 'or', 'items', 'days', 'return']"
18,17,132,17_vashikaran_love_magic_specialist,"['vashikaran', 'love', 'magic', 'specialist', 'astrology', 'problems', 'black', 'astrologer', 'marriage', 'mantra']"
19,18,129,18_airport_bus_limousine_taxi,"['airport', 'bus', 'limousine', 'taxi', 'service', 'limo', 'transportation', 'chicago', 'weggis', 'party']"
20,19,126,19_hosting_server_web_vps,"['hosting', 'server', 'web', 'vps', 'servers', 'website', 'dedicated', 'domain', 'site', 'you']"
21,20,123,20_language_english_spanish_german,"['language', 'english', 'spanish', 'german', 'students', 'lessons', 'learning', 'teaching', 'speaking', 'courses']"
22,21,120,21_podcast_this_is_fashion,"['podcast', 'this', 'is', 'fashion', 'her', 'to', 'that', 'glasses', 'and', 'about']"
23,22,119,22_injury_accident_personal_law,"['injury', 'accident', 'personal', 'law', 'lawyers', 'accidents', 'lawyer', 'injuries', 'attorney', 'case']"
24,23,115,23_exam_certification_questions_test,"['exam', 'certification', 'questions', 'test', 'dumps', 'pdf', 'pass', 'preparation', 'braindumps', 'answers']"
25,24,110,24_design_website_web_russell,"['design', 'website', 'web', 'russell', 'websites', 'your', 'site', 'index', 'factor', 'we']"
26,25,109,25_trading_forex_trade_traders,"['trading', 'forex', 'trade', 'traders', 'market', 'trader', 'explaining', 'answers', 'binary', 'pdf']"
27,26,109,26_logo_brand_design_photography,"['logo', 'brand', 'design', 'photography', 'spell', 'your', 'branding', 'me', 'southport', 'logos']"
28,27,107,27_hr_recruitment_resume_job,"['hr', 'recruitment', 'resume', 'job', 'candidates', 'hiring', 'candidate', 'we', 'cv', 'talent']"
29,28,106,28_social_media_shall_asbestos,"['social', 'media', 'shall', 'asbestos', 'followers', 'facebook', 'employer', 'instagram', 'paragraph', 'your']"
30,29,103,29_affiliate_builderall_money_marketing,"['affiliate', 'builderall', 'money', 'marketing', 'you', 'online', 'income', 'clickfunnels', 'make', 'get']"
31,30,102,30_p450_dili_charitable_drugs,"['p450', 'dili', 'charitable', 'drugs', 'fundraising', 'gift', 'community', 'donation', 'fund', 'donations']"
32,31,97,31_wedding_ceremony_event_weddings,"['wedding', 'ceremony', 'event', 'weddings', 'cookie', 'day', 'your', 'planning', 'you', 'cutter']"
33,32,95,32_economic_economics_book_of,"['economic', 'economics', 'book', 'of', 'economy', 'the', 'financial', 'monetary', 'and', 'in']"
34,33,94,33_legal_law_veterans_firm,"['legal', 'law', 'veterans', 'firm', 'lawyers', 'attorneys', 'va', 'clients', 'health', 'business']"
35,34,91,34_translation_portuguese_english_brazilian,"['translation', 'portuguese', 'english', 'brazilian', 'document', 'looking', 'notarized', 'certificate', 'translators', 'translations']"
36,35,87,35_coupon_codes_coupons_discount,"['coupon', 'codes', 'coupons', 'discount', 'code', 'promo', 'deals', 'discounts', 'checkout', 'off']"
37,36,86,36_security_vietnam_auction_bidders,"['security', 'vietnam', 'auction', 'bidders', 'bidder', 'bid', 'sealedbid', 'the', 'threats', 'access']"
38,37,81,37_poker_casino_play_games,"['poker', 'casino', 'play', 'games', 'players', 'game', 'lottery', 'casinos', 'win', 'betting']"
39,38,78,38_helmet_leather_wwi_german,"['helmet', 'leather', 'wwi', 'german', 'war', 'officers', 'original', 'complete', 'front', 'prussian']"
40,39,78,39_antivirus_malware_security_protection,"['antivirus', 'malware', 'security', 'protection', 'threats', 'hyde', 'spyware', 'viruses', 'virus', 'pc']"
41,40,76,40_training_course_learning_courses,"['training', 'course', 'learning', 'courses', 'sap', 'placement', 'students', 'learn', 'with', 'our']"
42,41,76,41_email_marketing_emails_your,"['email', 'marketing', 'emails', 'your', 'send', 'list', 'subscribers', 'campaigns', 'automation', 'mailchimp']"
43,42,75,42_kindle_books_book_amazon,"['kindle', 'books', 'book', 'amazon', 'ebooks', 'ebook', 'reader', 'reading', 'digital', 'library']"
44,43,74,43_video_videos_youtube_proxy,"['video', 'videos', 'youtube', 'proxy', 'to', 'cae', 'the', 'and', 'of', 'we']"
45,44,73,44_hack_tool_cheats_gems,"['hack', 'tool', 'cheats', 'gems', 'coins', 'generator', 'cheat', 'android', '2018', 'free']"
46,45,73,45_written_healing_foster_she,"['written', 'healing', 'foster', 'she', 'psychic', 'her', 'dog', 'me', 'reading', 'tarot']"
47,46,72,46_theme_wordpress_responsive_template,"['theme', 'wordpress', 'responsive', 'template', 'themes', 'slider', 'plugin', 'blog', 'layout', 'design']"
48,47,71,47_financial_wealth_planning_retirement,"['financial', 'wealth', 'planning', 'retirement', 'investment', 'advisory', 'goals', 'clients', 'investments', 'advice']"
49,48,67,48_vpn_ip_vpns_router,"['vpn', 'ip', 'vpns', 'router', 'tunnel', 'network', 'privacy', 'internet', 'servers', 'free']"
50,49,65,49_investigator_private_inside_yorkshire,"['investigator', 'private', 'inside', 'yorkshire', 'investigators', 'surrey', 'investigation', 'investigations', 'detective', 'read']"
51,50,65,50_criminal_defense_attorney_lawyer,"['criminal', 'defense', 'attorney', 'lawyer', 'description', 'visitors', 'law', 'dui', 'substantially', 'charges']"
52,51,64,51_sex_chat_cam_adult,"['sex', 'chat', 'cam', 'adult', 'you', 'women', 'sexual', 'hain', 'are', 'to']"
53,52,63,52_martial_arts_karate_fitness,"['martial', 'arts', 'karate', 'fitness', 'authorizer', 'classes', 'dance', 'training', 'kids', 'board']"
54,53,62,53_dating_singles_single_women,"['dating', 'singles', 'single', 'women', 'matching', 'latin', 'hispanic', 'eharmony', 'men', 'compatible']"
55,54,61,54_mortgage_loan_home_refinance,"['mortgage', 'loan', 'home', 'refinance', 'mortgages', 'finance', 'loans', 'rates', 'rate', 'we']"
56,55,60,55_property_management_rental_tenant,"['property', 'management', 'rental', 'tenant', 'tenants', 'properties', 'we', 'our', 'estate', 'real']"
57,56,59,56_yoga_tour_meditation_youll,"['yoga', 'tour', 'meditation', 'youll', 'the', 'of', 'and', 'retreat', 'quot', 'playmobil']"
58,57,59,57_domain_domains_name_names,"['domain', 'domains', 'name', 'names', 'dns', 'registration', 'hosting', 'whois', 'web', 'control']"
59,58,59,58_loan_loans_personal_bank,"['loan', 'loans', 'personal', 'bank', 'credit', 'eeg', 'financial', 'dewalt', 'interest', 'interne']"
60,59,57,59_students_education_college_scholarship,"['students', 'education', 'college', 'scholarship', 'school', 'study', 'cbap', 'high', 'universities', 'student']"
61,60,56,60_nri_divorce_legal_law,"['nri', 'divorce', 'legal', 'law', 'court', 'family', 'custody', 'attorney', 'services', 'child']"
62,61,56,61_magento_art_m70301_killexamscom,"['magento', 'art', 'm70301', 'killexamscom', 'of', 'the', 'artists', 'his', 'and', 'paintings']"
63,62,55,62_app_mobile_apps_development,"['app', 'mobile', 'apps', 'development', 'ios', 'sherri', 'iphone', 'android', 'chatting', 'developers']"
64,63,54,63_funeral_memorial_cemetery_cremation,"['funeral', 'memorial', 'cemetery', 'cremation', 'flowers', 'loved', 'burial', 'family', 'home', 'chapel']"
65,64,54,64_dating_datememe_singles_helens,"['dating', 'datememe', 'singles', 'helens', 'meet', 'find', 'site', 'chat', 'perumbavoor', 'you']"
66,65,54,65_writing_writer_articles_am,"['writing', 'writer', 'articles', 'am', 'content', 'write', 'project', 'article', 'experience', 'my']"
67,66,53,66_how_shortcuts_life_success,"['how', 'shortcuts', 'life', 'success', 'moti', 'cash', 'what', 'book', 'you', 'people']"
68,67,52,67_pc_registry_cleaner_windows,"['pc', 'registry', 'cleaner', 'windows', 'files', 'system', 'computer', 'tuneup', 'programs', 'cij']"
69,68,52,68_password_files_usb_passwords,"['password', 'files', 'usb', 'passwords', 'encryption', 'file', 'protect', 'excel', 'windows', 'vba']"
70,69,51,69_marketing_skidmore_media_mequoda,"['marketing', 'skidmore', 'media', 'mequoda', 'of', 'and', 'we', 'press', 'the', 'to']"
71,70,51,70_tour_paris_city_the,"['tour', 'paris', 'city', 'the', 'italy', 'venice', 'of', 'luxembourg', 'and', 'nice']"
72,71,51,71_merchant_processing_card_account,"['merchant', 'processing', 'card', 'account', 'payment', 'credit', 'fastag', 'payments', 'toll', 'mbizcard']"
73,72,49,72_bahria_residential_project_bhk,"['bahria', 'residential', 'project', 'bhk', 'floor', 'town', 'apartments', 'sale', 'estate', 'location']"
74,73,49,73_internet_centurylink_speeds_speed,"['internet', 'centurylink', 'speeds', 'speed', 'service', 'bundle', 'phone', 'satellite', 'dsl', 'home']"
75,74,47,74_hotel_thanks_room_blog,"['hotel', 'thanks', 'room', 'blog', 'williamsburg', 'was', 'rooms', 'breakfast', 'site', 'stay']"
76,75,47,75_england_history_century_of,"['england', 'history', 'century', 'of', 'was', 'the', 'book', 'in', 'waterloo', 'winthrop']"
77,76,47,76_web_development_website_cement,"['web', 'development', 'website', 'cement', 'design', 'solutions', 'we', 'ecommerce', 'mobile', 'himachal']"
78,77,47,77_download_counseling_attorneys_therapy,"['download', 'counseling', 'attorneys', 'therapy', 'magtymguly', 'and', 'depression', 'with', 'the', 'schools']"
79,78,46,78_gifts_flowers_gift_delivery,"['gifts', 'flowers', 'gift', 'delivery', 'send', 'valentines', 'cakes', 'day', 'marriage', 'substance']"
80,79,45,79_account_banking_deposit_checking,"['account', 'banking', 'deposit', 'checking', 'bank', 'mobile', 'accounts', 'card', 'savings', 'debit']"
81,80,44,80_download_torrent_icons_windows,"['download', 'torrent', 'icons', 'windows', 'file', 'files', 'aaron', 'clipboard', 'lee', 'software']"
82,81,44,81_entry_httpimagesfanaticscomlf_processed_false,"['entry', 'httpimagesfanaticscomlf', 'processed', 'false', 'customize', 'please', 'entered', 'guidelines', 'player', 'unable']"
83,82,43,82_domain_price_domainmarketcom_location,"['domain', 'price', 'domainmarketcom', 'location', 'premium', 'name', 'competitor', 'com', 'experts', 'ads']"
84,83,42,83_crm_dynamics_microsoft_management,"['crm', 'dynamics', 'microsoft', 'management', 'customer', 'solution', 'solutions', 'sales', '365', 'software']"
85,84,41,84_buddha_buddhism_upanishads_spiritual,"['buddha', 'buddhism', 'upanishads', 'spiritual', 'buddhist', 'hindu', 'mold', 'tibetan', 'of', 'the']"
86,85,41,85_roman_greek_of_rome,"['roman', 'greek', 'of', 'rome', 'history', 'his', 'the', 'ancient', 'hyp', 'in']"
87,86,41,86_advertising_ad_growth_ads,"['advertising', 'ad', 'growth', 'ads', 'media', 'we', 'atom', 'will', 'that', 'is']"
88,87,41,87_miles_points_rewards_card,"['miles', 'points', 'rewards', 'card', 'qantas', 'earn', 'valid', 'members', 'ticket', 'radisson']"
89,88,41,88_rand_she_he_her,"['rand', 'she', 'he', 'her', 'him', 'african', 'his', 'black', 'tells', 'nyn']"
90,89,41,89_cooker_computer_support_pressure,"['cooker', 'computer', 'support', 'pressure', 'xl', 'technology', 'solutions', 'services', 'it', 'network']"
91,90,41,90_carbon_atoms_data_chain,"['carbon', 'atoms', 'data', 'chain', 'compound', 'group', 'atom', 'prefix', 'suffix', 'longest']"
92,91,39,91_spy_phone_software_monitoring,"['spy', 'phone', 'software', 'monitoring', 'keylogger', 'computer', 'monitor', 'messages', 'pcspy', 'chm']"
93,92,39,92_tutors_tutor_tutoring_kalkaji,"['tutors', 'tutor', 'tutoring', 'kalkaji', 'tuition', 'students', 'akaritutoring', 'teaching', 'math', 'teacher']"
94,93,39,93_urban_environmental_book_cities,"['urban', 'environmental', 'book', 'cities', 'sustainability', 'of', 'worldcat', 'land', 'editions', 'and']"
95,94,38,94_probate_alcatel_estate_c5,"['probate', 'alcatel', 'estate', 'c5', 'planning', 'trusts', 'pop', 'anerley', 'trust', 'touch']"
96,95,38,95_xfinity_tv_connecticut_directv,"['xfinity', 'tv', 'connecticut', 'directv', 'dish', 'internet', 'channels', 'hd', 'programming', 'frontier']"
97,96,38,96_house_sell_buy_houses,"['house', 'sell', 'buy', 'houses', 'estate', 'fast', 'sale', 'real', 'my', 'home']"
98,97,37,97_ebay_jozo_shopping_fulfillment,"['ebay', 'jozo', 'shopping', 'fulfillment', 'medjugorje', 'product', 'jews', 'online', 'products', 'you']"
99,98,37,98_rewriter_article_spin_spinner,"['rewriter', 'article', 'spin', 'spinner', 'content', 'tool', 'spinning', 'rewrite', 'articles', 'wordai']"
100,99,36,99_parenting_parents_children_child,"['parenting', 'parents', 'children', 'child', 'course', 'parent', 'julie', 'boys', 'romanowski', 'opera']"
101,100,36,100_bitcoin_cryptocurrency_crypto_latoken,"['bitcoin', 'cryptocurrency', 'crypto', 'latoken', 'punk', 'blockchain', 'portsmouth', 'turmeric', 'coin', 'tokens']"
102,101,34,101_gbv_jewelry_silver_pin,"['gbv', 'jewelry', 'silver', 'pin', 'judaica', 'halfway', 'health', 'gold', 'bookkeeper', 'occult']"
103,102,33,102_email_spam_mail_extractor,"['email', 'spam', 'mail', 'extractor', 'zipmail', 'hotmail', 'addresses', 'gmail', 'emails', 'filtering']"
104,103,33,103_ecommerce_website_your_we,"['ecommerce', 'website', 'your', 'we', 'products', 'opencart', 'store', 'you', 'transfer', 'or']"
105,104,32,104_law_criminal_dance_justice,"['law', 'criminal', 'dance', 'justice', 'legal', 'ballet', 'earthquake', 'crime', 'jurisprudence', 'luggage']"
106,105,32,105_removals_moving_van_man,"['removals', 'moving', 'van', 'man', 'house', 'pregnancy', 'movers', 'move', 'storage', 'netherlands']"
107,106,31,106_office_space_business_virtual,"['office', 'space', 'business', 'virtual', 'coworking', 'centre', 'locations', 'meeting', 'across', 'access']"
108,107,29,107_hypnosis_hypnotherapy_mind_subconscious,"['hypnosis', 'hypnotherapy', 'mind', 'subconscious', 'anxiety', 'you', 'life', 'maldives', 'ghana', 'your']"
109,108,28,108_quran_islam_islamic_arabic,"['quran', 'islam', 'islamic', 'arabic', 'tajweed', 'book', 'novel', 'latinx', 'muslim', 'he']"
110,109,28,109_living_assisted_senior_care,"['living', 'assisted', 'senior', 'care', 'seniors', 'residents', 'communities', 'housekeeping', 'meals', 'seniorfriendly']"
111,110,27,110_india_indian_krishna_literary,"['india', 'indian', 'krishna', 'literary', 'iskcon', 'book', 'constitution', 'indias', 'hare', 'literature']"
112,111,26,111_singapore_chinese_china_consents,"['singapore', 'chinese', 'china', 'consents', 'mackenzie', 'kuan', 'third', 'story', 'simons', 'yew']"
113,112,26,112_cloud_management_software_solution,"['cloud', 'management', 'software', 'solution', 'f4', 'business', 'sony', 'lenses', 'fe', 'solutions']"
114,113,26,113_card_credit_visa_rewards,"['card', 'credit', 'visa', 'rewards', 'balance', 'purchases', 'bonus', 'apr', 'account', 'apply']"
115,114,26,114_wedding_event_venue_banquet,"['wedding', 'event', 'venue', 'banquet', 'guests', 'ottawa', 'perfect', 'catering', 'our', 'weddings']"
116,115,25,115_security_services_county_ca,"['security', 'services', 'county', 'ca', 'ellis', 'officers', 'chambers', 'manufacturing', 'patrol', 'cancer']"
117,116,24,116_retirement_401k_plan_financial,"['retirement', '401k', 'plan', 'financial', 'planning', 'income', 'cooperators', 'annuity', 'solo', 'investment']"
118,117,24,117_recovery_sim_recover_data,"['recovery', 'sim', 'recover', 'data', 'files', 'mdb', 'file', 'deleted', 'card', 'software']"
119,118,24,118_car_publishing_agent_but,"['car', 'publishing', 'agent', 'but', 'buffy', 'and', 'bail', 'transit', 'to', 'cars']"
120,119,24,119_documents_document_records_management,"['documents', 'document', 'records', 'management', 'laserfiche', 'information', 'migraine', 'pds', 'ediscovery', 'vestibular']"
121,120,24,120_soviet_russian_oyo_russia,"['soviet', 'russian', 'oyo', 'russia', 'stalin', 'political', 'kochi', 'aroor', 'socialist', 'stalins']"
122,121,23,121_security_home_system_adt,"['security', 'home', 'system', 'adt', 'monitoring', 'systems', 'mortlake', 'cctv', 'duckwater', 'camera']"
123,122,23,122_hack_download_tool_mac,"['hack', 'download', 'tool', 'mac', 'files', 'latest', 'uploaded', 'free', 'apps', 'platforms']"
124,123,23,123_isd_sat_rgn_academy,"['isd', 'sat', 'rgn', 'academy', 'courses', 'cisd', 'driving', 'exam', 'school', 'texas']"
125,124,23,124_sms_bulk_send_messages,"['sms', 'bulk', 'send', 'messages', 'icf', 'dnd', 'marketing', 'text', 'globexcamsms', 'deals']"
126,125,22,125_joomla_cms_punky_content,"['joomla', 'cms', 'punky', 'content', 'website', 'web', 'php', 'henry', 'hosting', 'websites']"
127,126,22,126_war_revolution_american_think,"['war', 'revolution', 'american', 'think', 'history', 'civil', 'was', 'they', 'were', 'he']"
128,127,22,127_house_buy_sell_homeowners,"['house', 'buy', 'sell', 'homeowners', 'houses', 'my', 'sale', 'estate', 'investors', 'fast']"
129,128,22,128_bankruptcy_debt_chapter_law,"['bankruptcy', 'debt', 'chapter', 'law', 'attorney', 'creditors', 'filing', 'foreclosure', 'mnp', 'financial']"
130,129,22,129_flights_cheap_travel_flight,"['flights', 'cheap', 'travel', 'flight', 'airlines', 'chennai', 'airport', 'airline', 'trip', 'airfare']"
131,130,22,130_autobiographical_tags_book_philosophical,"['autobiographical', 'tags', 'book', 'philosophical', 'chapter', 'of', 'philosophy', 'arab', 'human', 'science']"
132,131,22,131_gold_silver_coin_bullion,"['gold', 'silver', 'coin', 'bullion', 'coins', 'metals', 'precious', 'council', 'ira', 'eagle']"
133,132,21,132_jasenovac_jewish_holocaust_provo,"['jasenovac', 'jewish', 'holocaust', 'provo', 'jews', 'camp', 'nazi', 'ustasha', 'google', 'schindlers']"
134,133,21,133_god_her_she_gods,"['god', 'her', 'she', 'gods', 'devotions', 'prayer', 'his', 'faith', 'devotional', 'book']"
135,134,21,134_immigration_overseas_visa_complaints,"['immigration', 'overseas', 'visa', 'complaints', 'mail', 'twa', 'building', 'wrestling', 'ups', 'roofing']"
136,135,21,135_causeway_wwwthegreenteahousecom_jubilee_listing,"['causeway', 'wwwthegreenteahousecom', 'jubilee', 'listing', 'information', 'brooks', 'giants', 'or', 'fionn', 'columns']"
137,136,21,136_house_my_was_mchenry,"['house', 'my', 'was', 'mchenry', 'lesa', 'had', 'brownsville', 'her', 'kids', 'it']"
138,137,20,137_billing_benefits_healthcare_medical,"['billing', 'benefits', 'healthcare', 'medical', 'employees', 'services', 'coding', 'management', 'provide', 'revenue']"
139,138,20,138_test_tests_ibt_pte,"['test', 'tests', 'ibt', 'pte', 'toefl', 'prep', 'examcbt', 'rebecca', 'practice', 'questions']"
140,139,20,139_am_love_me_im,"['am', 'love', 'me', 'im', 'my', 'person', 'man', 'looking', 'life', 'like']"
141,140,20,140_flag_flags_houchins_tshirt,"['flag', 'flags', 'houchins', 'tshirt', 'military', 'armed', 'georgia', 'womens', 'emerson', 'nietzsche']"
142,141,19,141_jason_business_acquisitions_diligence,"['jason', 'business', 'acquisitions', 'diligence', 'my', 'selling', 'sale', 'process', 'buyers', 'transaction']"
143,142,19,142_art_posters_african_dre,"['art', 'posters', 'african', 'dre', 'ellison', 'gallery', 'therapists', 'artists', 'musician', 'american']"
144,143,19,143_latin_laboratory_america_safety,"['latin', 'laboratory', 'america', 'safety', 'political', 'chemical', 'democracy', 'chemistry', 'colonial', 'resource']"
145,144,18,144_hosting_coupon_domain_discount,"['hosting', 'coupon', 'domain', 'discount', 'hostgator', 'codes', 'crazydomains', 'off', 'price', '1and1com']"
146,145,18,145_college_gift_care_packages,"['college', 'gift', 'care', 'packages', 'baskets', 'gifts', 'package', 'basket', 'mom', 'cookies']"
147,146,18,146_messenger_messaging_voltaire_pagegate,"['messenger', 'messaging', 'voltaire', 'pagegate', 'download', 'app', 'instant', 'messages', 'chat', 'detect']"
148,147,18,147_am_project_excel_work,"['am', 'project', 'excel', 'work', 'url', 'login', 'entry', 'me', 'data', 'experience']"
149,148,18,148_locksmith_harrow_locks_security,"['locksmith', 'harrow', 'locks', 'security', 'lock', 'loans', 'locksmiths', 'emergency', 'insurance', 'call']"
150,149,17,149_credit_repair_score_debt,"['credit', 'repair', 'score', 'debt', 'report', 'rates', 'lower', 'solutions', 'interest', 'fix']"
151,150,17,150_url_login_daha_am,"['url', 'login', 'daha', 'am', 'project', 'view', 'experience', 'developer', 'job', 'php']"
152,151,17,151_ppc_search_google_ads,"['ppc', 'search', 'google', 'ads', 'adwords', 'ukraine', 'results', 'campaign', 'click', 'advertising']"
153,152,17,152_debt_consolidation_credit_creditors,"['debt', 'consolidation', 'credit', 'creditors', 'debts', 'card', 'compton', 'colleyville', 'cudahy', 'strasburg']"
154,153,17,153_m61_route_trunkline_likewar,"['m61', 'route', 'trunkline', 'likewar', 'easterly', 'gladwin', 'rd', 'co', 'brooking', 'social']"
155,154,16,154_explorations_fiction_literary_social,"['explorations', 'fiction', 'literary', 'social', 'book', 'of', 'asian', 'literature', 'download', 'shakespeare']"
156,155,16,155_engagement_syringes_nonaspirating_platform,"['engagement', 'syringes', 'nonaspirating', 'platform', 'theme', 'plesk', 'rating', 'hub', 'review', 'your']"
157,156,16,156_coaching_coach_life_chicken,"['coaching', 'coach', 'life', 'chicken', 'nlp', 'positive', 'sessions', 'brain', 'psychology', 'hong']"
158,157,16,157_space_office_offices_rosinsky,"['space', 'office', 'offices', 'rosinsky', 'loft', '4475403', '212', 'lobby', 'building', 'dancer']"
159,158,16,158_kale_marriage_love_her,"['kale', 'marriage', 'love', 'her', 'relationship', 'she', 'dar', 'his', 'church', 'he']"
160,159,16,159_exchange_currency_foreign_bookmyforex,"['exchange', 'currency', 'foreign', 'bookmyforex', 'money', 'knotts', 'hifx', 'nisp', 'ocbc', 'bank']"
