,Topic,Count,Name,Representation
0,-1,9995,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'for', 'is', 'with', 'on', 'that']"
1,0,436,0_sales_marketing_business_manager,"['sales', 'marketing', 'business', 'manager', 'client', 'financial', 'looking', 'management', 'team', 'job']"
2,1,383,1_dog_dogs_pet_pets,"['dog', 'dogs', 'pet', 'pets', 'puppy', 'cats', 'breed', 'cat', 'animal', 'veterinary']"
3,2,291,2_room_floor_bedroom_home,"['room', 'floor', 'bedroom', 'home', 'house', 'kitchen', 'living', 'property', 'space', 'with']"
4,3,264,3_restaurant_restaurants_food_menu,"['restaurant', 'restaurants', 'food', 'menu', 'chef', 'dishes', 'cuisine', 'cooking', 'and', 'with']"
5,4,185,4_trail_park_lake_campground,"['trail', 'park', 'lake', 'campground', 'river', 'miles', 'trails', 'creek', 'mountain', 'rv']"
6,5,180,5_estate_real_property_homes,"['estate', 'real', 'property', 'homes', 'home', 'properties', 'sale', 'we', 'our', 'mortgage']"
7,6,173,6_wine_wines_manoeuvre_vineyards,"['wine', 'wines', 'manoeuvre', 'vineyards', 'vineyard', 'winery', 'tasting', 'grapes', 'cellar', 'the']"
8,7,136,7_dental_smile_teeth_dentistry,"['dental', 'smile', 'teeth', 'dentistry', 'dentist', 'your', 'patients', 'our', 'oral', 'officesuite']"
9,8,124,8_camera_samsung_smartphone_battery,"['camera', 'samsung', 'smartphone', 'battery', 'processor', 'phone', 'display', 'ram', 'nokia', 'galaxy']"
10,9,120,9_fabrics_cotton_read_cover,"['fabrics', 'cotton', 'read', 'cover', 'fashion', 'cellphone', 'fabric', 'quilting', 'design', 'sewing']"
11,10,120,10_events_event_nv5_conference,"['events', 'event', 'nv5', 'conference', 'meetings', 'diller', 'meeting', '0800am', '2018', 'will']"
12,11,118,11_heel_shoe_nike_shoes,"['heel', 'shoe', 'nike', 'shoes', 'boot', 'outsole', 'upper', 'comfort', 'leather', 'rubber']"
13,12,116,12_yoga_meditation_practice_retreats,"['yoga', 'meditation', 'practice', 'retreats', 'classes', 'class', 'teacher', 'body', 'retreat', 'her']"
14,13,116,13_care_senior_living_residents,"['care', 'senior', 'living', 'residents', 'caregivers', 'home', 'community', 'seniors', 'nursing', 'loved']"
15,14,114,14_please_contact_us_email,"['please', 'contact', 'us', 'email', 'nacd', 'form', 'zigarette', 'damage', 'below', 'you']"
16,15,113,15_photography_photographer_photographers_images,"['photography', 'photographer', 'photographers', 'images', 'photographs', 'photo', 'weston', 'portrait', 'camera', 'professional']"
17,16,112,16_hair_salon_beauty_salons,"['hair', 'salon', 'beauty', 'salons', 'dubai', 'nail', 'skin', 'spa', 'treatments', 'extensions']"
18,17,105,17_players_teams_play_league,"['players', 'teams', 'play', 'league', 'dermatology', 'tennis', 'team', 'soccer', 'tournament', 'girls']"
19,18,104,18_fitness_crossfit_gym_workout,"['fitness', 'crossfit', 'gym', 'workout', 'training', 'rope', 'classes', 'you', 'exercise', 'strength']"
20,19,100,19_island_islands_you_the,"['island', 'islands', 'you', 'the', 'costa', 'beach', 'is', 'and', 'are', 'beaches']"
21,20,99,20_safari_park_hosting_wildlife,"['safari', 'park', 'hosting', 'wildlife', 'lodge', 'safaris', 'national', 'the', 'gold', 'is']"
22,21,99,21_insurance_coverage_horse_wilmington,"['insurance', 'coverage', 'horse', 'wilmington', 'property', 'policy', 'liability', 'you', 'home', 'bluebee']"
23,22,96,22_hotel_hotels_rooms_luis,"['hotel', 'hotels', 'rooms', 'luis', 'room', 'pool', 'km', 'tata', 'located', 'guests']"
24,23,94,23_cigarettes_flowers_plant_plants,"['cigarettes', 'flowers', 'plant', 'plants', 'flower', 'florist', 'foeniculum', 'mimosa', 'florists', 'blooms']"
25,24,87,24_taipei_ski_thunderstorms_mrt,"['taipei', 'ski', 'thunderstorms', 'mrt', 'cloudy', 'station', 'taiwan', 'showers', 'chance', 'skiing']"
26,25,87,25_golf_course_club_golfers,"['golf', 'course', 'club', 'golfers', 'holes', 'myrtle', 'courses', 'tee', 'hole', 'play']"
27,26,86,26_car_rover_phantom_2019,"['car', 'rover', 'phantom', '2019', 'porsche', 'fiat', 'bmw', 'rollsroyce', 'audi', 'acura']"
28,27,85,27_feyewear_glasses_sunglasses_acetate,"['feyewear', 'glasses', 'sunglasses', 'acetate', 'conformit', 'nickelfree', 'tr90', 'colors', 'lenses', 'swarovski']"
29,28,82,28_taxi_airport_bus_limo,"['taxi', 'airport', 'bus', 'limo', 'car', 'rental', 'service', 'taxis', 'hire', 'limousine']"
30,29,81,29_fabric_jacket_fit_shorts,"['fabric', 'jacket', 'fit', 'shorts', 'jersey', 'comfort', 'pockets', 'short', 'dry', 'moisture']"
31,30,80,30_viagra_protein_muscle_sample,"['viagra', 'protein', 'muscle', 'sample', 'female', 'body', 'cbd', 'sanding', 'acid', 'dianabol']"
32,31,79,31_water_band_wedding_waste,"['water', 'band', 'wedding', 'waste', 'gold', '14k', 'environmental', 'unity', 'recycling', 'hall']"
33,32,79,32_chair_chairs_furniture_chaise,"['chair', 'chairs', 'furniture', 'chaise', 'seat', 'futon', 'dining', 'sofa', 'sectional', 'armchair']"
34,33,79,33_baylor_mcg_health_vacancy,"['baylor', 'mcg', 'health', 'vacancy', 'jobs', 'glass', 'scott', 'medical', 'care', 'healthcare']"
35,34,78,34_bag_pockets_pocket_compartment,"['bag', 'pockets', 'pocket', 'compartment', 'shoulder', 'bags', 'gear', 'straps', 'pack', 'backpack']"
36,35,72,35_locksmith_lock_locks_locksmiths,"['locksmith', 'lock', 'locks', 'locksmiths', 'services', 'security', 'store', 'keys', 'service', 'our']"
37,36,70,36_maths_mathematics_students_children,"['maths', 'mathematics', 'students', 'children', 'teaching', 'learning', 'skills', 'lesson', 'reading', 'phonics']"
38,37,67,37_charity_donate_tiny_lives,"['charity', 'donate', 'tiny', 'lives', 'volunteers', 'burt', 'car', 'compliance', 'fundraising', 'donations']"
39,38,67,38_flights_flight_airline_airlines,"['flights', 'flight', 'airline', 'airlines', 'airport', 'tickets', 'nunavut', 'cheap', 'air', 'usury']"
40,39,67,39_app_android_mobile_casino,"['app', 'android', 'mobile', 'casino', 'fermeture', 'lydia', 'apps', 'apple', 'application', 'ios']"
41,40,64,40_watch_watches_oris_dial,"['watch', 'watches', 'oris', 'dial', 'movement', 'stainless', 'oclock', 'steel', 'case', 'brand']"
42,41,63,41_furniture_table_desk_wood,"['furniture', 'table', 'desk', 'wood', 'chairs', 'mommyliciousca', 'drawers', 'swag', 'promotional', 'cadtable']"
43,42,63,42_denis_he_his_him,"['denis', 'he', 'his', 'him', 'father', 'was', 'upon', 'me', 'her', 'my']"
44,43,62,43_swimming_swim_swimmers_pool,"['swimming', 'swim', 'swimmers', 'pool', 'water', 'aquatics', 'babies', 'dental', 'lessons', 'meters']"
45,44,61,44_agriculture_farmers_farm_agricultural,"['agriculture', 'farmers', 'farm', 'agricultural', 'farming', 'woodwind', 'sweepstakes', 'farmer', 'sheep', 'wwe']"
46,45,58,45_cleaning_carpet_cleaners_services,"['cleaning', 'carpet', 'cleaners', 'services', 'clean', 'property', 'cleaner', 'service', 'your', 'commercial']"
47,46,58,46_beer_brewery_brewing_beers,"['beer', 'brewery', 'brewing', 'beers', 'ale', 'hull', 'craft', 'pipe', 'ladies', 'valentino']"
48,47,58,47_music_band_jazz_mortar,"['music', 'band', 'jazz', 'mortar', 'caffeine', 'padova', 'students', 'musical', 'workshop', 'padua']"
49,48,55,48_business_peoplesoft_consulting_services,"['business', 'peoplesoft', 'consulting', 'services', 'zoho', 'data', 'salesforcecom', 'solutions', 'software', 'enterprise']"
50,49,53,49_montgomery_county_saturday_park,"['montgomery', 'county', 'saturday', 'park', 'norristown', 'commissioners', 'countys', 'he', '2016', '2015']"
51,50,52,50_landscaping_landscape_garden_lawn,"['landscaping', 'landscape', 'garden', 'lawn', 'design', 'landscapers', 'care', 'maintenance', 'services', 'we']"
52,51,51,51_christmas_festival_agents_trees,"['christmas', 'festival', 'agents', 'trees', 'perjury', 'year', 'will', 'tree', 'for', 'ammonialyase']"
53,52,50,52_martial_boxing_arts_bag,"['martial', 'boxing', 'arts', 'bag', 'mma', 'sensei', 'fitness', 'training', 'show321com', 'karate']"
54,53,49,53_gemstone_diamonds_color_crystals,"['gemstone', 'diamonds', 'color', 'crystals', 'gem', 'diamond', 'garnet', 'quartz', 'stone', 'pearls']"
55,54,49,54_children_child_philips_learning,"['children', 'child', 'philips', 'learning', 'eindhoven', 'tarot', 'belmont', 'childs', 'school', 'their']"
56,55,48,55_massage_spa_body_tantric,"['massage', 'spa', 'body', 'tantric', 'massages', 'therapy', 'spas', 'therapist', 'swedish', 'therapists']"
57,56,47,56_recruitment_stenographer_candidates_aspirants,"['recruitment', 'stenographer', 'candidates', 'aspirants', '2018', 'apply', 'jobs', 'upsssc', 'psc', 'posts']"
58,57,47,57_skin_dermacol_brand_beauty,"['skin', 'dermacol', 'brand', 'beauty', 'makeup', 'cosmetic', 'sunscreen', 'products', 'cosmetics', 'laser']"
59,58,46,58_coffee_keurig_cup_roasters,"['coffee', 'keurig', 'cup', 'roasters', 'grinding', 'green', 'radar', 'mill', 'mountain', 'espresso']"
